NEUT0|"""The intrinsic value of Apple is ranged between $2.18 per share."
NEUT1|An $44.88 per share.
NEUT2|How were those values calculated?
NEUT3|Paying $2.18 per share represents the company's cash for every share issued and outstanding.
NEUT4|They have $2.18 in cash and cash equivalents.
NEUT5|Paying $44.88 per share represents the company's price per share, based on its earnings.
NEUT6|A price of $44.88 per share represents the fractional payment for the company's next 20 years of median historical earnings to conservative way to value a company using future earnings, which slightly differs from the result you get by calculating Apple's PE ratio.
NEUT7|Now what's the price per share that they're trading at now?
NEUT8|The stock is currently trading at a price of $108.86 per share.
NEUT9|Due to the fact that this price falls beyond the upper bound of the company's intrinsic value.
NEUT10|It be reasonable to assume that the stock is currently overpriced.
BULL11|Your next step would be to find a better price investment vehicle, which can gain a similar return with similar risk, all while maintaining safety of principle with an ample margin of safety.
NEUT12|For the defensive investor, a low cost index fund satisfies the Afor mentioned investment vehicle characteristics.
NEUT13|The Vanguard 500 Index Fund is the same fund Warren Buffett used actually and his famous 10 year bet against the hedge fund industry, which he won.
NEUT14|Until we're able to find a stock which passes the scrutiny required of the analysis prescribed by Benjamin Graham and the value investing community as a whole.
NEUT15|The this investment vehicle should suffice, specifically the Vanguard 500 Index Fund serves as a prudent investment alternative to Apple until the company stock trades below a price of $44.88 per share.
NEUT16|So guys join our value investing community here on YouTube so you can continue to gain insight on how to analyze business performance so that your investment performance is optimized.
NEUT17|Remember when your investment performance is optimized?
NEUT18|So with your wealth production, I'll see you next video value.
NEUT19|"Investors take care."""
