NEUT0|"""Hey, what's up everybody?"
NEUT1|Welcome back to a brand new building that we were going to have a look at the big move the stock market make after hours.
NEUT2|Tractor Supply Company Disney Navok, Sanmaur stock markets stations much alike and subscribe for more videos and let's get into it.
BULL3|Tractor Supply Company that farm supplies retailers stock a sure shot up 7% and extreme trading after the company provide structure supply company's financial outlook for the second quarter of 2020.
NEUT4|What is the computer of 2020 at the time when many companies withdrawing goodness?
BEAR5|Tractor Supply said it expects recording break.
BULL6|A record breaking sales or earnings, as well as the company proper sales growth of 20 to 25%.
BULL7|The company's stock is up 46% since March 16 and has been the best performing retailer in the S&P 500 during that time.
BULL8|Disney in the entertainment giant stock climbed 1% in extended trading after the company announced that wallet Disney World Restore Exclusive Wilson beat Arab sporting purpose or on Wednesday to the Orange County Econonmic Recovery Task Force in Florida.
NEUT9|The proposal plans for our face recommend reopening of the Resport theme park, according to the company statement.
BULL10|Now, books that biological companies stock climbed 3% after the closing Bell.
BULL11|Domino's Pizza order pizza chains stock climbed 1% an extended trading after the company relating permanently stock quarter earnings.
BULL12|Domino's said U.S. sales result acquitted.
BULL13|Over the weeks through 538 of the second quarter and up to 20.9% compared to the same quarter last year.
BEAR14|However, Domino's said the international sales resolved to continue to be choppy, according to the company's statement, as watching Smartlite button subscribe and turn on notifications.
NEUT15|For more videos.
NEUT16|"Just like this one."""
