BULL0|"""Hey selling investors and welcome back to another video soon."
NEUT1|To these video we're going to talk about Plug Power.
NEUT2|Probably one of those stocks and no one ever saw this long to just all of a sudden, just literally boost up to the moon.
NEUT3|Absolutely crazy.
NEUT4|So we're going to cover it and understand what is going on with this stock guys, but if you ever need to my channel do give away $25 I guess.
NEUT5|Have to do subscribe and stay active here on my channel.
NEUT6|On top of that guys, I'm also going to $50 to a random person using my referral link down scription below to use Weibo.
NEUT7|Sign up deposit $100.
NEUT8|Get three free stocks.
NEUT9|I get Facebook Apple can I get Snapchat Coca Cola and you guys can get these free stocks as well.
NEUT10|So link down inscription below.
NEUT11|So let's talk about Plug Power.
BEAR12|Main reason why is because this stock has been going up for like the past few months.
NEUT13|Yes and see if you like this for the past three months yes and see this was like around $7.00 stock and then all of a sudden we just see some huge gains in current.
BULL14|Now going up to $16.00 very fast so.
NEUT15|What does need to understand is that.
NEUT16|This is like an energy technology.
NEUT17|It provides alternative energy technology which focuses on the design, development and manufacture of hydrogen fuel cell system.
NEUT18|So that's the one thing you guys need to understand about this.
NEUT19|If we look at this for the past year, yes and see that this was literally a penny stock and we can see how fast this dog has been growing this past year.
NEUT20|A lot of these songs have been growing and it's absolutely crazy.
NEUT21|So right over here you know there's an article where sits on the talks about how.
BEAR22|Plug power stocks stock.
NEUT23|It's an upgrade because hydrogen power is a thing, so yes, and see Morgan Stanley if you guys don't know what that is, it's basically an investment banking company and they joined the crowd of Wall Street firms recommending stock in plug power so you know there's a lot of people in Wall Street.
NEUT24|You know a lot of Alice, you know, even this company, you know this.
NEUT25|This investing banking company, everyone getting, you know pretty much together and Wall Street.
NEUT26|They're pretty much recommending this stock.
NEUT27|OK, so why?
NEUT28|Because it's a potential.
BULL29|It has huge opportunities, you know, for the hydrogen fuel cell company, after an update from management on its technology and business partnership.
NEUT30|So yes, and see that there's a lot of things going on over here and you management.
BULL31|You know this business partnership, and they're pretty much saying this is a great opportunity right now, yes, and see that it's like around the $1516.00 range and it continues to go up last week and went up almost to three dollars 20%.
NEUT32|Gains absolutely crazy and this is definitely a stock that I should add to my watch list, but let me know down in the comments section below.
NEUT33|What are your thoughts on Plug Power?
NEUT34|Maybe you have a couple of shares, or maybe you think it's one of those stocks that you know.
NEUT35|It might have a huge pull back very soon as you guys can see, it did have one back in September.
BEAR36|It did drops like $11.00 and then once again very strongly going back up.
BULL37|But anyways, thank you guys so much for watching.
NEUT38|If you guys enjoy smashing like to subscribe.
NEUT39|I also post about Tesla.
NEUT40|"Neal workhorse penny stocks everything has asked for put it down in the comment section below and I'll make a video on it and I will see you guys on my next video."""
