NEUT0|"""So there is an interval where compared to burner."
NEUT1|In this video I'm going to share the complete technical analysis of Sanofi stock and it will ping potential trading as well as those who have invested in this stock.
NEUT2|You must watch this video to know what's happening in the stock and what is their future view.
NEUT3|Here I'm using their attempt to explain this to you on and picking the help of support on residence lines.
NEUT4|See here.
BULL5|The stock has a very strong support near the level.
NEUT6|7450 to an it has a resistance level, so it has attendance level.
NEUT7|I'm going to mark through the tendon itself, so this is the trend line resistance level.
NEUT8|The stock is currently facing, so the level 9000 level 8868 and Level 817 fifty acting as attendance for the stock.
NEUT9|Currently the stock is trading near the level 8000 and see it as a support near the level.
BEAR10|7977 so as you can see the previous day on 29th of October, it cut us support near the level 7977 levels.
NEUT11|So currently trading near 8000 levels.
BULL12|If the if the level holds good then we can expect the stock to get reversal from here and to trust the first important level, the trending resistance level.
NEUT13|But is there any relations level that is 8650?
NEUT14|It is the first implantable to watch it on this stock so.
NEUT15|If it doesn't hold this event in 1977 levels, then it is better to wait till here till this level is 7660 or the level 7444.
NEUT16|So these are the important levels to be seen on our daily temperament the stock see here.
NEUT17|Whatever this operations maybe whatever it ended analysis may be the key to succeeding.
NEUT18|Trading is the risk management.
NEUT19|So what's your risk appetite based upon the Earth to invest in stock market?
NEUT20|And do not over trade or do not invest more like see you are.
NEUT21|Stop now should be like if it is final rupees means then your reward should be like 2000.
NEUT22|That means your risk River should be one is to four then only you can do something.
NEUT23|Some money in stock market an you'll be living in a longer term in the stock market.
NEUT24|So if you feel this analysis worth like this video.
NEUT25|Share this video with your friends and subscribe to my channel.
NEUT26|Click the Bell icon for quick notifications.
NEUT27|And if you need to learn if you want to learn trading, you can reach me through trader one of fire, gmail.com.
NEUT28|So thank you so much for listening if you want to trade the global stocks like Google, Amazon, Walmart, Apple, here is the number one global brokerage platform providing these services with the leverage of fire is to one and you can trade the global stocks as well as.
NEUT29|International currencies and commodities like gold, silver, crude oil.
NEUT30|You can also trade the 19 major global indices, so in order to open the account, just check the description of this video.
NEUT31|There are given the link to open the account.
NEUT32|"Click that link and open account."""
