NEUT0|"""You know what?"
NEUT1|I'm not going to mince words.
NEUT2|I want to know right now with this acquisition, $27 billion acquisition of Slack.
NEUT3|I think the key question is, are you positioned to take on Microsoft as the future of enterprise software?
NEUT4|Jim, first of all, let me just say wow, what a quarter we had.
NEUT5|I mean, you can just see we just had a monster.
BULL6|Q3 it was phenomenal.
BULL7|Beyond our expectations were now coming in to an incredible year next year from 21 one this year to 25.5 next year.
NEUT8|Incredible, but you're right.
NEUT9|Jim Slack changes everything and make Salesforce a whole new type of company.
NEUT10|A company that is truly architected to work from.
NEUT11|Anywhere now we have already introduced Salesforce work from anywhere a couple months ago.
NEUT12|You know that, but now with staff that really supercharges our approach, and let's all of our customers re architect their workforce to be truly from anywhere.
NEUT13|OK, so look, I've known your I know your deal style and I've been listening to these different analysts and some are saying that deals too big and some are saying he has to do it because he's out of growth.
NEUT14|And here's one at Salesforce engagement.
NEUT15|They gotta do it.
NEUT16|The timing is curious.
NEUT17|Teams is already one I mean.
NEUT18|This guy say that all the time I hear the deals too big.
NEUT19|How are the last two two big deals?
NEUT20|Well Jim, of course, whenever you do an acquisition, you get these narratives from people who maybe are not even in the software industry.
BEAR21|They have no idea what's happening with customers.
NEUT22|Let me tell you what's happening with customers.
NEUT23|Jim customers are re architecting how they're working.
NEUT24|They're building a 360 degree view of their customers.
NEUT25|They're building a 360 degree view of their employees.
NEUT26|They have, they want the ability to work from anywhere and the connect to their customers from anywhere.
NEUT27|And you look at the opportunity today.
NEUT28|Incredible number, one selling from anywhere, I mean.
NEUT29|There's never been a more important point in history to have your B to B sales force, or even your B to C sales force to be able to connect directly with your customer or service from anywhere.
BULL30|Our customers are performing so well, because that's how our product was built from beginning.
NEUT31|Now a slack, it provides this incredible incredible window into a collaborative interface onto all of our services and the whole enterprise when you do.
NEUT32|Don't miss a second of mad money.
NEUT33|Follow at Jim Cramer on Twitter.
NEUT34|Have a question?
NEUT35|Tweet Cramer hashtag mad tweets send Jim an email to mad money at cnbc.com or give us a call at one 807 four three CNBC.
NEUT36|Miss something head to madmoney.cnbc.com.
NEUT37|Shepard Smith here.
NEUT38|"Thanks for watching CNBC on YouTube."""
