BULL0|"""But nothing was more spectacular than the numbers from a stock that actually didn't go up today."
BULL1|But that's OK. Netflix, just like Chipotle, Netflix kick things off by noting that there giving $150 million to support if out of work content producers.
BULL2|Second, they agreed to reduce the bandwidth consumption at the request of countries that are struggling to meet brand broadband capacity in this new stay at home work.
NEUT3|Imagine having to reduce or suppress the demand.
NEUT4|What kind of product has that?
BULL5|Finally, they snared more than 15 million subscribers, nearly doubled Wall Street, was looking for although management merely clarified this growth rate is unsustainable.
NEUT6|That's then, that's itself a seat.
NEUT7|Facing stuff they always do.
NEUT8|I say not so fast.
NEUT9|I'm betting his pandemic level long lasting impact on people's behavior like Chipotle or Amazon.
BULL10|Netflix offers a superior product at a superior price, and I suspect the worldwide quarantine will be fabulous for word of mouth.
NEUT11|Fabulous look at it like this.
NEUT12|The company does this cool interview as there.
NEUT13|That's what they do for their conference call where they forced all their executives to name their favorite Netflix shows.
NEUT14|And once coming up almost furiously, scribbling down the name so I could, I could stay cool with my kids.
NEUT15|For next Sunday's boozy brunch and you know my zoom brunch, you know was unorthodox, alright called, was unorthodox.
NEUT16|That shows an Orthodox they made me.
NEUT17|They made a ton of content ahead of time ahead of the coronavirus.
NEUT18|Maybe that's just luck.
NEUT19|Maybe it's brilliant preparation.
NEUT20|I don't know.
BEAR21|Either way, I think the stock is more upside and it's nuts that it ended up pulling back today, but it had run hard into the cliche print.
NEUT22|What else?
NEUT23|Oh my name Tuesday told you not to sweat the oil meltdown because it was a financial fakeout.
NEUT24|Sure they were.
BEAR25|All stocks are horrible.
BEAR26|Industries in big trouble, but could only went to sub-zero levels because I'm weird distortion in the futures market.
BULL27|Sure enough, oil came roaring back today, and while it's still bad, oh it's not destroy what's left of the economy bed and the stocks finally getting a little rally.
NEUT28|You can exit again.
BULL29|Bottom line, in a very tough environment, companies with genius leadership with a heart are doing well by doing good.
NEUT30|Turns out, rewarding your employees and protecting your customers.
NEUT31|Good for business.
NEUT32|Just look at Chipotle and Netflix, both of which have more upside here off because they understand that business is the greatest platform for social change.
NEUT33|Don't miss a second of mad money.
NEUT34|Follow at Jim Cramer on Twitter.
NEUT35|Have a question?
NEUT36|Tweet Cramer hashtag mad tweets send Jim an email to mad money at cnbc.com or give us a call at one 807 four three CNBC.
NEUT37|"Miss something head to madmoney.cnbc.com."""
