NEUT0|"""BNGO stock analysis and predictions, January 21st."
NEUT1|In today's BN Geo.
NEUT2|Stock analysis and predictions.
NEUT3|BNGO stock correct.
NEUT4|Alright, let's get started.
BEAR5|Nothing is permanent in stock markets and stocks that saw one day can decline the next case in point being the Bionano Genomics Inc. NASDAQ be NGO stock which recorded gains of 65% over the course of the past one week.
BEAR6|But on Wednesday it suffered a sharp decline.
BEAR7|Yesterday, the bionano stocks slumped by 11% after the company announced the pricing details for the public stock offering.
NEUT8|The Genome Analysis Company is looking to raise around $200 million by offering 33 million, 300 and 33,350 shares of its common stock.
NEUT9|The shares have been priced at $6 each and on top of that the underwriters have also been given the option of buying up to five million additional shares at the same price.
BEAR10|The offer price of $6 a share is considerably lower than the closing price of $9.14 a share on Tuesday.
BULL11|Hence, the reaction from the market with regards to the latest development is understandable.
BULL12|It remains to be seen if the stock can bounce back today.
NEUT13|That's what's been happening this week in the world of BN Geo stock analysis and predictions.
NEUT14|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to all investments right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of the NGO stock analysis and predictions.
NEUT15|If you enjoyed this edition of the NGO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL16|We'd really appreciate it.
NEUT17|Are you still watching and want more?
NEUT18|"Check out last week's BN Geo stock analysis and predictions by checking out our BN Geo stock analysis playlist."""
