NEUT0|"""So it is an intermittent computer burner."
NEUT1|In this video I'm going to share the complete technical assist up button desktop and it will ping positioning as well as interacting here.
NEUT2|I'm using their attempt to explain the software and I'm taking the help of support and resistance lines.
NEUT3|So here see the stock has a support near the level 1000 and it has a first level of residence near the level 1391.
NEUT4|Then the next important level residences.
NEUT5|Level 1459, so now the stock has a support level near the level 1213 and it has another higher low support level.
NEUT6|It is around level 1 to finance, so the stock is holding the current software wizard 1328.
BULL7|Now the stock is currently trading near the level 1372 and it is able to break these resistance level 1390 C Once this level near the level 1390 brakes on our Internet embassies.
NEUT8|Or in your daily timeframe basis, we can expect the stock to reach its first important answer is near the level 14.
NEUT9|Finding our 1460 C 161460 breaks and our direct time frame or Internet embassies.
BULL10|Then we can expect the stock to reach.
NEUT11|It's another impartible or desired 1498.
NEUT12|Then the level 1557, then the level 1590.
NEUT13|So these are the input levels and a bullish about the stock of but I India.
NEUT14|See what happens if it doesn't hold this support level 1330 level then it will be back in this range.
NEUT15|What is the trail then support it as well.
NEUT16|It ends up another Level 1 to fight so it's better to wait till 12584.
NEUT17|Any reversal happens in one to fight before going long on this stop.
NEUT18|So our present the stock is trading at 1372 and if this breaks this 1130 it is good for bulls for the next important target is 1461.
NEUT19|So if you want any sort of analytical equipment in the comment section and going to make a video on this one, I'm going to make appointment with another one and I'm going to post in your job.
NEUT20|So after that if you feel this is worth like this video and share this video with your friends.
NEUT21|Are there fire plants and such?
NEUT22|I do my channel so if you want to learn trading you can reach me through to fire Jim Markham.
BULL23|So thank you so much for listening.
NEUT24|If you want to trade the global stocks like Google, Amazon, Walmart, Apple, here is the number one global brokerage perform providing these services with the leverage of fund is to one and you can trade the global stocks as well as.
NEUT25|International currencies and commodities like gold, silver, crude oil.
NEUT26|You can also trade the 19 major global indices, so in order to open the account, just check the description of this video.
NEUT27|"There I have given the link to open the account, click that link and open account."""
