NEUT0|"""Hey everyone, welcome back to this cryptocurrency prediction video today."
NEUT1|We're going to do prediction on every coin, so now the price of the area coin is rupees ₹27,734 and from last seven days get the graph.
NEUT2|Tell us that the price was the highest 32,000.
NEUT3|And now the price is less than 27,000.
NEUT4|It may reach ₹26,000 also.
NEUT5|Now it's ₹27,000.
NEUT6|So as part of the graph, the graph tell us that the prices seem low and low, so now the price is very low.
NEUT7|Is the best time to buy your every coin now and the price goes more than 32 or ₹33,000 more than that we can sell you a week one that time.
BEAR8|So now it's the lowest.
NEUT9|Or guys is the best time to buy your every coin now.
NEUT10|So guys it's prediction in which your money at your own risk.
NEUT11|"OK bye."""
