NEUT0|"""Welcome to small cap gems."
NEUT1|We bring you the best undervalued cryptocurrency projects that are on the market right now.
BULL2|This one today is one that's getting some popularity.
NEUT3|It's on about 4000.
NEUT4|Watch list.
NEUT5|Currently it's called Med.
NEUT6|Med Indium.
NEUT7|Basically, the coin symbol is M ET.
NEUT8|A sad about 30-4 cents.
NEUT9|Has a market cap of around 428 million with volume of over a billion, so the ratio right now is about 2.41 volume market cap.
NEUT10|So we like to see a large number with that.
NEUT11|And this potentially gonna run for five to 10 X.
NEUT12|So ultimately, that's what we're looking at for an this project specifically.
NEUT13|It gives you back ownership of your data.
NEUT14|They already have the app out.
NEUT15|It looks clean.
NEUT16|Basically, keep everything all in one place your identity, verify who you are providing information about yourself in store, and secure your data only one place without losing control.
NEUT17|They do have two factor authentication which you want to see an ultimately they're looking clean member platform, their team.
NEUT18|The CEO is Justin Park, so they're clear about that.
NEUT19|I found him on LinkedIn.
NEUT20|I don't know if since I don't have an account, I can't see his picture or if he actually doesn't have any picture on his account, but it does say he is in Singapore.
NEUT21|He is the CEO an it's verified right there so it looks like they're not trying to rub, pull or anything.
NEUT22|An ultimately got the kid is a good point there.
NEUT23|When the points you want to lookout for a yearly, the high is $0.42, so you want to see that break of $0.42 and then some consolidation above it so it can build that next leg up and really getting to price discovery mode and break out to an all time high and possibly break to that $1.00 point.
BULL24|Ultimately, if Bitcoin continues to be bullish and history repeats itself in Q2 of this year in this bull run are amazing.
BULL25|Van this will give projects like this great opportunity to set those new highs for themselves.
NEUT26|Ultimately, Lookout for what Bitcoin is doing and keep an eye on our channel.
NEUT27|If you want to have the best low cap gyms, things like this that are in the hundreds of 1,000,000 that are safer but also ones that are more risky that are under 100,000,000 that have the potential to 1000 X, possibly in top of the bull run.
NEUT28|Ultimately then subscribe if you want to help us fill up the rocket ship to the moon and then go ahead and smash that like button.
NEUT29|Any other questions or anything you want us to cover, go ahead and hit us up in the comments.
NEUT30|And of course everything here is just our opinions, not financial advice, any investment.
NEUT31|"Contact Certified financial advisor."""
