NEUT0|"""Neo stock analysis and predictions, September 6th."
NEUT1|In today's NEO stock analysis and predictions, Neo's price target for end of 2020, all right.
NEUT2|Let's get started.
NEUT3|There is no doubt that Neo is a growth stock that is a high risk, high reward opportunity.
BULL4|Nio's growth prospects are closely tide to the increasing adoption of electrification in the automotive industry in China.
BULL5|The state backing, coupled with nio's strategic moves in areas such as pricing and partnership, can prove to be big growth drivers.
BULL6|Analysts expect NIO to grow its revenues at a CAGR of 40.6% in the next three years, which is far higher than the average top line growth rate of 21.6%, estimated for the US auto industry and of nine point 8% for the overall U.S. market in the same timeframe.
BULL7|Nio's earnings are also expected to improve Atasi AGR of 57.9% in the next three years, again higher than the 43.8% earnings growth estimated for the US auto industry and 23 point.
BULL8|4% for the US market in the same timeframe.
BEAR9|Despite this, the overall analyst sentiment for the stock is neutral.
NEUT10|The consensus analysts rating for the stock is hold, while the consensus for Neo's price target for end of 2020 is $19.83.
BULL11|I believe that the stock can correct this level due to near term pressures posed by equity dilution EV market sell off and expense IPO the long term growth prospects of NIO remained pretty strong.
BULL12|However, retail investors should keep a watch on this stock and start a position only after at least a 30% downward correction in prices.
NEUT13|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT14|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT15|If you enjoyed this edition of NEO stock analysis, and.
NEUT16|Predictions please hit the like or share button.
BULL17|We'd really appreciate it.
NEUT18|Are you still watching and want more?
NEUT19|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
