BULL0|"""Hello and welcome to these technologies with you here."
NEUT1|It's not come to their bank slogan, gold market and elite time frame swimming into the chart.
BEAR2|Now their price continues to dive lower below that way, 3.6% coupon at retracement level of the Apple App from 11162, Thirteen hundred 4661 around 1300.
NEUT3|Oh two and be needed 20 and 40.
NEUT4|Simple moving average is looking at the technical indicators down here.
BEAR5|There are size moving slightly lower than negative territory.
NEUT6|Why does the hospital she later entered their words?
NEUT7|They were sold zone?
BEAR8|Immediate support level is coming from 12180 barrier before touching the three eight point 2% people Nachi of 13175 slip below these lines could drive the metal tours.
NEUT9|The 50% people Nachi of 12153.
NEUT10|On the flip side, now resistance would be come from from the 23.6% people Nachi of 1300.
BEAR11|Oh two and 13110, which had come too late.
BULL12|They Gmail cloud above this area would help shift the focus to the upside towards 13124 while even higher.
BULL13|We could see a retest of the 13146.61, entered the bias to bullish.
BEAR14|To sum up, the yellow metal seems to be bearish in the short term picture as it failed to jump about 13124 and online daily close above the 10 month peak could confirm the medium term bullish structure again.
NEUT15|So that's all from me.
BULL16|"Thank you for watching and have a great day."""
