BEAR0|"""Hey, what is going on guys?"
NEUT1|Welcome back to another Penny stock update video.
NEUT2|Now we're going to be covering the top three.
NEUT3|Well performing penny stocks for today that you should be taking a look at tomorrow.
NEUT4|These three stocks are absolute rockets right now and they are very cheap.
BULL5|Some of them even going up over 1000% in a single day.
BULL6|Alright everyone, thank you for joining me again with another penny stock video.
BULL7|Now we're going to start today off pretty strong with our number three spot already.
NEUT8|This one is called excellent technologies and their stock ticker is XELAW.
NEUT9|Now.
BULL10|Believe it or not, this one is up 15% today and it's actually seen quite a steady increase over the last five days.
NEUT11|Going up over 300%, this is another company based out of America and what you should know about them is that there is sort of business automation company and they seriously offer a ton of services and solutions.
NEUT12|Mainly banking, lending, mortgages.
NEUT13|All that sort of stuff.
NEUT14|Now, this probably doesn't seem as interesting to you guys as it does to me, and if it does for you then that's great season.
NEUT15|I like it because you can currently buy it for $0.11 and for what it's worth, this is the most steady increase company we have on this list.
BEAR16|One thing I'll point out is that the EPS is very bad at negative 8, which is something that happens with these kinds of companies and you should be aware of that.
NEUT17|Now moving on to number 2 and now it says #3, but that was from the intro.
BULL18|Well as you guys can see it is up 1156%.
NEUT19|It's absolutely insane.
NEUT20|Now we absolutely have to talk about this a little bit more.
NEUT21|Their company is called MDM Permian and their stock ticker is MDMP.
NEUT22|Something big just happened for this stock, although we don't know what it is.
BEAR23|There's no news, no media about this company, but something huge just happens now as I was looking at MDMP throughout the day, we could actually see that their stock was increasing rather steadily, which is definitely very odd and definitely worth looking at because their volume is 71 million right now.
NEUT24|That means all of these people.
NEUT25|We're buying this stock and almost none of them were selling it.
NEUT26|These people probably know something that the rest of the market doesn't either.
NEUT27|This is going to be the next pump and dump scheme, or something big just happened that we were just on not aware of.
NEUT28|However, it could have something to do that.
NEUT29|This is an oil and gas drilling company who are obviously very popular right now, so this huge spike of over 1000% in a day wouldn't be so crazy because their market cap is only 48 million.
NEUT30|Definitely one of the crazier stocks we've seen, and definitely one I'm keeping my eye on in the next week.
BEAR31|And that does lead us into a number one spot for today, and I'm going to be pointing out a ton of flaws with this.
NEUT32|This is an old familiar stock called Marmion Industries Stock ticker MMI OH.
BULL33|Now it's up again 58% today and over 1200% in the last five days.
NEUT34|When I told you guys not to buy this stock, and like I said guys, this is really looking like a pump and dump scheme that is either just being set up or just getting popular.
NEUT35|And that is exactly what the cases for this stock.
NEUT36|Now let me explain why this is a terrible movie if you want to buy this stock, so do you guys.
NEUT37|Notice anything off in their description?
NEUT38|Well there in ventilation and air conditioning company, but they also went out of business in 2011, so this is definitely showing all of the signs of a potential pump and dump scheme.
NEUT39|If you do want to get into this, it looks like a pretty wild right to me and I'm obviously not going to tell you what you can and can't do with your money.
NEUT40|I'm just going to say that it's basically gambling, and if you were to buy at this peak right here, you might find yourself in the bad end of a pump and dump scheme.
NEUT41|And I don't want that to happen to any of you guys.
BULL42|However, if you do want to stay up to date on all these amazing opportunities, that could actually be really good for you.
NEUT43|Well, be sure to subscribe the channel because we create these videos every single day and with that being said, I just like to thank you for watching and making it all the way until the end of this video.
BULL44|"I really appreciate that and I will see you in the next one."""
