NEUT0|"""Hey guys, I'm Naveen yesterday."
BEAR1|Cassava signs touched hundred 125, then it loses its urge an now it is done by more than 27% and in pre market also it is down by more than 8%.
BULL2|After second trial results the price of this company popped up more than 200%.
BEAR3|Then people start taking profit out of it and now we're seeing some downsides after this huge.
NEUT4|Search these type of downsides are normal people are taking profit here an I think this is that I will add it from here.
NEUT5|I will buy more an I believe in it after third face trial.
BULL6|I'm again expecting a 10X return here 'cause the drug which they had made.
NEUT7|It's a very rare drug an no one has made this type of truck and in second Phase report of this drug was really awesome.
BULL8|It is very effective.
BEAR9|We are seeing this downside because of intraday traders.
NEUT10|In second phase it is very clear that drug is effective on alsheimer there are so many patients of alsheimer in the world numbers is in billions.
NEUT11|I know many people are stuck in it than many are waiting for the thought faced trial at that time only we will see this type of search again.
NEUT12|If anyone stuck here.
NEUT13|In that case we can wait for it.
NEUT14|Quarter result that will be announced in the end of February or in the first week of March, but most probably we will get our money back after third trial after third trial.
BULL15|"We may expect a return of more than 10X."""
