NEUT0|"""Neo stock analysis and predictions, November 20th."
NEUT1|In today's NEO stock analysis and predictions, an iOS rally will continue alright, let's get started.
BULL2|Anio saw a near 40% rally from Wednesday morning to Friday morning, sparked by Neo Strong.
BULL3|Q3 earnings options are pricing in a significantly large move with Ivy over 200% for November 20th expiry.
BEAR4|A short sellers are getting squeezed out in this rally due to the immense daily volume.
BULL5|NIO NIO has had great week.
BULL6|With rivals Tesla posting strong revenue beats and growth rates during earnings, sending the group significantly higher.
BULL7|An IO has been extremely stable this week with a~ $16.00 swing in just two days from intraday lows to highs over 1.55 B.
BULL8|Shares had traded this week with far over half of that on Thursday and Friday, 346 million, 574 million shares of NEO rallied about 65% from Wednesday morning to Friday morning, notching an intraday high of $51.27.
BULL9|Revenues rose 28.9% sequentially to RMB $2.51 billion as vehicle sales during Q3 rose by 2000.
BULL10|XQ vehicle and gross margin expanded significantly on a QOQ basis, up 610 and 650 BP.
BULL11|On volume growth, gross profit increased 91.3% to just under RMB $500 million.
BULL12|Free cash flow also rose 149.3% to RMB $749.9 million.
BULL13|NEO estimates the Q4 deliveries will hit 12,000 on revenues of RMB $2.2 billion.
BULL14|That would mark and over 200% increase in deliveries yo.
BULL15|Why according to analyst for NIO their rally will continue next week and this is based on strong fundamentals from the stock and heavy demand for their product valuation for NIO has already seen price to utter perfection's shares have risen tremendously since just the start of November, yet there still is volume growth potential as seen by an iOS rally Friday morning at over $51.00, putting it at almost 30X forward sales.
BULL16|Anio will catch up to Tesla in terms of deliveries.
BULL17|As they seek to take over 45% of the Chinese market next year and expand their targets to European shores, an iOS earnings ahead will be a very strong one, with gains implying a massive move to $70.00.
BULL18|Next Adam near the money options for November 20th are pointing to a nearly $20 move by the end of next week, as implied gains sits at over 200%.
NEUT19|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT20|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of NIO stocks and predictions.
NEUT21|If you enjoy this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL22|We'd really appreciate it.
NEUT23|Are you still watching and want more?
NEUT24|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
