NEUT0|"""Is this the property boom?"
NEUT1|That shouldn't be?
NEUT2|Almost because that industry just had so many interruptions during the pandemic, and here it is now.
NEUT3|It's extraordinary.
BEAR4|Yeah, that's right, if you think about, you know May June, July last year there was no shortage of people out there saying House price crash 3040% falls.
NEUT5|Of course there are the usual suspects.
NEUT6|Also always predict house price crashes, so any set of circumstances will do.
NEUT7|But there was a real concern.
BEAR8|Even the big banks are out there with with reasonably, you know, negative.
NEUT9|Quite often.
NEUT10|Some circumstance I'm saying he was 20% was the largest I saw.
NEUT11|One of the major banks that would have been really material.
NEUT12|Of course the economy didn't falter as badly or for as long as it was possible that recovery with low rates meant that we simply all felt like on all of us.
NEUT13|But most of us we had more money in our pocket or the same amount of money in our pockets.
BEAR14|Our jobs were at risk, and yet we could go to the bank manager.
NEUT15|How much can I borrow the bank manager saying well about 25% more than you could this time last year, and unfortunately for those people who are trying to get the housing market now, plenty people see great thank you very much.
NEUT16|I'll take that higher borrowing capacity, ongoing bid, auction against everybody else with the same circumstances.
NEUT17|And that's why house prices are going through the roof simply because it's more affordable at these lower rates.
NEUT18|Yeah, it's fascinating to see how it's playing out now, Scott.
BULL19|The Essex is expected to be buoyed by another rally in New York overnight.
BULL20|We sent some really strong share price and talk about recoveries.
NEUT21|Our market not yet at the February 19, 2020 hires were still chasing that down.
NEUT22|But the American market will hit those numbers.
NEUT23|"I think before the end of the calendar year last year."""
