NEUT0|"""And that frenzy is fed by people who are getting."
NEUT1|Commissions and other revenues out of this new bunch of gamblers.
NEUT2|And of course.
NEUT3|Yeah, when things get extreme you have things like that short squeeze.
NEUT4|It's not generally noticed by the public, but clearing houses clear all these trades and when things get as crazy as they were in the event you're talking about.
BEAR5|There are threats with clearinghouse failure.
NEUT6|So it gets very dangerous and it's.
NEUT7|Really stupid to have a culture which encourages as much gambling and stocks by people who have the mindset of Race Dog racetrack bettors.
BEAR8|And of course it's going to create trouble as it did and.
NEUT9|I have a very simple idea on this subject.
NEUT10|I think you should try and make your money in this world by selling other people things that are good for them.
NEUT11|"And if you're selling them gambling services where you rate profits off the top like many of these new brokers who specialize in learning the gamblers in, I think it's a dirty way to make money and I think they were crazy to allow it."""
