NEUT0|"""So, ladies and gentlemen, welcome to Verna in this video."
NEUT1|I'm going to share the complete technical itself, VIP industries and it will pay in Internet dating as well as potential trading.
NEUT2|Here I'm using file sharing platform and I'm taking the help of support on residence Lens and I'm using how are attempting to explain it to you.
NEUT3|See here.
BULL4|Currently the stock is trading near 361.50 and it has a very good support near.
BULL5|350 and it has no strong resistance near the level 368.
BEAR6|Under daza minor support near the Level 360 as well as 354 and those are not much appreciated or not taken care of that and so we can expect the stock to have a reversal near 350 levels and any break out of this level 368 levels will fetch us the next important or resistance level there is 373-1370 is broken.
NEUT7|We can expect the stock to reach this level 317 and there is another residence level for this talk, so once 379.
BEAR8|Open 379 is broken.
NEUT9|We can expect the next important levels to seen in this talk is.
NEUT10|Yeah, this one 400.
NEUT11|After 400 we can expect the next important level that is at 418.
NEUT12|Then next important level is at 440 after that.
NEUT13|Offer 4:40 we can expect 456.
NEUT14|Then 472, so these are all the input level to be seen in this talk.
NEUT15|In the coming days and always follow the strict stop loss for every entry because everyones risk management is the only key to succeed in trading.
NEUT16|And this is all about a technical analysis of our VIP industries.
NEUT17|So if you feel this analyze worth like this video.
NEUT18|Share this video with your friends and support to my channel.
NEUT19|Don't forget to click the Bell icon for quick modifications.
BULL20|"Thank you so much for listening."""
