NEUT0|"""Grading di equals 100 X Dave price."
BEAR1|It is useful to compare die with a if die is not significantly lower than a, the dividend payment may be in jeopardy.
NEUT2|DDS dividend safety DS is an indicator of the assurance that regular cash dividends will be declared and paid at current or at higher rates for the foreseeable future.
NEUT3|Xom does not pay a dividend so it does not have a dividend safety rating.
NEUT4|Stocks with DS values above 75 typically have Rs values well above 1.0 and A levels that are much higher than Die DOT DG.
NEUT5|Dividend growth rate.
NEUT6|Dividend growth is a forecasted annual growth rate of a company's dividend based on historical dividend payments and dividend predictability.
NEUT7|It is a subtle yet important indicator of a company's financial performance.
BULL8|It also provides some insight into the board's outlook on the company's ability to increase earnings.
NEUT9|Xom does not pay a dividend, so it does not have a dividend growth rating.
NEUT10|Ysg ysg vector YSG is an indicator which combines Di DS and e.g into a single value and allows direct comparison of all dividend paying stocks in the database.
NEUT11|Xom does not pay a dividend so it does not have a ysg rating.
BULL12|Stocks with the highest ysg values have the best combinations of dividend yield safety an growth.
NEUT13|These are the stocks to buy for somewhat above current income and long term growth.
NEUT14|Dot avval have bowl is the 50 day moving average of daily volume is computed by vector vest.
NEUT15|Xom has an AB bowl of 304,956,842 shares traded per day, dot, percent bowl.
BEAR16|Percent bowl reflects the percent change in today's trading volume as compared to the avval.
BEAR17|Percent bowl equals volume avval have bowl 100 Zahm had a percent bowl of 12.37% on Tuesday, February 9th 2021% PRC xom price changed minus 14.07% from the prior day's closing price.
NEUT18|Dot sales.
NEUT19|Xom has annual sales of 0 sales growth.
NEUT20|Sales growth is the sales growth rate in percent over the last 12 months.
BULL21|Xom has a sales growth of 0.00% per year.
BEAR22|This is poor dot sales per share.
NEUT23|SPS Xom has annual sales of $0.00 per share.
NEUT24|Dot price to sales ratio.
NEUT25|PS Xom has a PS of 0.00 dot shares.
NEUT26|Xom has 829 million shares of stock outstanding dot market capitalization.
NEUT27|Xom has a market capitalization of 1 billion 924,000,000 business sector.
NEUT28|Xom has been assigned to the drug business sector vector vest classifieds.
NEUT29|Stocks into over 200 industry groups and 40 business sectors.
NEUT30|Dot industry group Xom has been assigned to the Drug Bio Medical genetic.
NEUT31|Industry group vector vest classifieds.
NEUT32|Stocks into over 200 industry groups and 40 business sectors.
BULL33|Market momentum extreme greed S&P 500 is 9.83% above its 125 day average.
BEAR34|This is further above the average than has been typical during the last two years, and rapid increases like this often indicate extreme greed.
NEUT35|Last changed February 3 from agreed rating updated February 9 at 5:02 PM.
BULL36|Stock price strength Greek number of stocks hitting 52 week highs exceeds the number hitting lows and is at the upper end of its range indicating greed dot last changed February 2 from an extreme greed.
NEUT37|Rating updated.
NEUT38|February 9th at 4:01 PM.
BEAR39|Stock price, breadth greed McLellan volume summation index measures advancing and declining volume on the New York Stock Exchange during the last month.
NEUT40|Approximately 16.26% more of each day's volume has traded in advancing issues than in declining issues.
BULL41|Pushing this indicator towards the upper end of its range for the last two years, Dot last changed February 4 from a neutral rating.
NEUT42|Updated February 9 at 4:06 PM put and call options.
NEUT43|Greed smart text not available.
NEUT44|Dot last change Jan 14.
NEUT45|From an extreme greed rating.
NEUT46|"Updated Jan 14 at 7:00 PM junk bond demand greed investors."""
