NEUT0|"""For watching this quick video, an update or Nikola Corp."
NEUT1|So this company has been producing auto electric tax but since 2017 and believe but please before investing this company read about it, do a lot of research is so the idea is to go long as we can see based mainly on technical analysis and on this big momentum of.
BULL2|All electric cars company or those electric cars producers has been performing very well during this crisis.
NEUT3|I think below becaused the oil price there is no anymore lot of interest on the oil side so all the cars using a gasoline and diesel light snow anymore interest into it.
NEUT4|But perhaps the interest is moving more on renewable energies such as electric cars, so in this moment and ideas to go long again.
NEUT5|And investing in this company turning fun is that you know this.
NEUT6|This company is called Nickola and the name of Nikola Tesla, the guy that invented alternating current so and one is testimonies.
NEUT7|Nicholas Tesla.
NEUT8|Everybody knows about Tesla's biggest electric com producing electric cars.
NEUT9|And now we have nickola that again produces electric cars as well.
NEUT10|So those two companies they share the name of the great guy.
NEUT11|Say it again.
NEUT12|I mean when it was said by think was born English, so European guy that invented alternating current and while there is another one that another guy was Alessandro, Volta was Italian that invented.
NEUT13|Direct current, so both of them are European, so this is ending at it's fine, but I wanted to share with you is just a little bit of the story behind those names and those guys that their genius they invented it started from scratch is inventing the idea.
NEUT14|The concept of coronet for us now it's normal and then or they actually have electricity.
NEUT15|And now it's everyday normal, but for them was sending you was very naughty.
NEUT16|If they were just genius.
NEUT17|But again going back on this stock.
NEUT18|So the idea is to go longer because.
BULL19|Even Tesla is keep falling on is near Neo is keep going up and solo so all those company performing very well.
NEUT20|So the idea is I don't see why this company is not.
NEUT21|It's not going to snow.
BEAR22|Snow is not performed well as well.
NEUT23|So going along with the Nickola Corporation and just wait perhaps the end of this price retracement?
NEUT24|If there will be before going up the target price can be as it was before.
NEUT25|Just based on the previous peak, at least 90 US store.
BULL26|I can go even more.
NEUT27|"But this is again mainly on a technical analysis and again, guys taking analysis can can fail, so it's not under percent sure, thanks bye."""
