NEUT0|"""He's selling investors and welcome back to another video."
BULL1|So today we're going to talk about sundial growers because yes and see that at the moment it's kind of dropping an I personally feel that it's a great time to buy these dips.
NEUT2|OK, but I'm not a financial advisor.
NEUT3|This offer educational purposes.
BULL4|OK, definitely a penny.
NEUT5|Stocks that you should add to your watchlist?
NEUT6|This is a very hot penny stock right now and there's a couple news here and there.
NEUT7|We're going to talk about that.
NEUT8|You guys can see today's volume is literally 682 million, which is crazy, but unfortunately yes, and see that it's not really going up.
NEUT9|You know, it's kind of just at the dollar range.
NEUT10|You know, going up a couple of cents now before I continue as if yes, enjoy the short videos like I go straight, you know, and get into the points right away.
BEAR11|Definitely drop a like subscribe turn on those post notifications.
NEUT12|No need to make you know 10 minute videos when everything can be done in a few minutes.
NEUT13|So you know, last week in Robin Hood they restricted us from being able to buy shares we weren't able to buy sundial growers.
BEAR14|This stock was restricted and it's like man because they were doing very well yes and see you know, absolutely crazy.
NEUT15|You know it was literally like around $0.55.
BULL16|It went up to as high as $1.19.
NEUT17|Now you guys need to understand that when this happened, there really wasn't any news like nothing caused it to go up.
NEUT18|The only thing that happened was you know there was literally, I believe, like over 1 trillion in volume and people just continue, continue to buy and then you can see how to huge pull back and then no yesterday it started to go back up to a dollar.
BULL19|OK so I personally feel that this is really a good penny stock in in my continue going up guys that's right.
NEUT20|Now, once again, you know Robin Hood could restrict us and it *****.
NEUT21|OK, so it's always good to have different accounts, so I definitely recommend you guys to open Weibo.
NEUT22|You know other applications like M1 finance button.
NEUT23|We will if you sign up with my link down description below, you're going to get 4 Free's dogs and I'm giving away $50 to a random person that is right $50 over uses my link yes and see I get really good stocks.
NEUT24|$34 stocks, $34 stocks, $2929 stocks, $35 stocks.
NEUT25|32 definitely something you do not want to miss on guys.
NEUT26|So hop on that you know easy money for us to make.
NEUT27|Also we boom.
NEUT28|They also give you $30 of use.
NEUT29|My link down inscription below to sign up and deposit $100 and those $30.
NEUT30|You can literally just buy any stocks that you guys want.
NEUT31|So yeah, you can see over here in the news you know the next day.
BEAR32|Meaning last week I know they were sugars from GameStop sundials volume dropped to 1,000,000 and the stocks fell to 81 cents.
NEUT33|So when they restricted us, you know, this talk just fell short.
BULL34|I'm pretty sure you know if we didn't get restricted this penny stock could have just continue going up guys so yes and see right now.
BEAR35|One of the reasons GameStop Sword was due to a short squeeze.
NEUT36|OK now sundial growers.
BULL37|It still has a lot of potential.
NEUT38|Or there's a couple news here and there.
NEUT39|I'm definitely going to keep you guys updated, but I hope you guys enjoy.
NEUT40|If you do give it a big thumbs up.
NEUT41|"Let me know what are your thoughts on sundial growers and I will see you guys on the next video."""
