NEUT0|"""Cdtv.net dividend report is brought to you in part by 1M3 Corporation."
NEUT1|IT solutions for banking and finance.
NEUT2|Call them at 917-686-3485.
NEUT3|I'm John Hannah and here are the CD tv.net David and report for Thursday, February 11, 2010.
NEUT4|Cdtv.net covers dividend paying stocks.
NEUT5|Earnings reports, dividend announcements and company profiles.
NEUT6|But first, here's today's city Without net top stories.
BEAR7|Coca Cola Enterprises reported diluted earnings per share totaled $0.22 compared with a loss of $2.99 last year.
NEUT8|Analysts average estimates were $0.20 per share.
BULL9|Coca Cola enterprises beats by two cents.
BULL10|Earnings were $110 million compared with a loss of $1.4 billion a year ago.
NEUT11|Coca Cola Enterprises Incorporated engages in the manufacture.
NEUT12|Distribution and marketing of non alcoholic beverages.
BEAR13|Scripps Networks Interactive reported excluding items for quarter 2009 earnings per share were $0.52 compared with $0.55 last year.
NEUT14|Analysts average estimates were $0.52 per share.
BULL15|Scripps Networks Interactive is in line with estimates.
BULL16|Consolidated revenue for the fourth quarter increased 6% to $430 million from the prior year.
NEUT17|Scripps Networks Interactive.
NEUT18|Operates as a lifestyle, content and interactive services company in the United States and internationally, and now the dividend report Commerce Bancshares Incorporated Board of Directors, declared a quarterly dividend of 23 and a half cents per share.
NEUT19|The dividend is payable on March 26 to stockholders of record at the close of business on March 10, 2010.
NEUT20|Commerce Bancshares incorporated a bank holding company, engages in general banking business.
NEUT21|The Board of directors of.
NEUT22|Brookfield Properties Corporation declared a quality common share dividend of $0.14 per share, payable March 31st to shareholders of record at the close of business on March 1st, 2010.
NEUT23|Brookfield Properties Corporation is a publicly owned real estate investment trust.
NEUT24|The Board of directors of DPL Incorporated declared a quarterly dividend of 30 and a quarter cents per share, payable March 1st to common shareholders of record on February 16, 2010.
NEUT25|DPL incorporated through its subsidiary, the Dayton Power and Light Company, operates as a regional electric energy company in the United States RLI Corporation Board of Directors declared a first quarter cash dividend of $0.28 per share.
NEUT26|The dividend is payable on April 15 to shareholders of record as of March 31st, 2010.
NEUT27|RLI Corporation, through its subsidiaries, underwrites property and casualty insurance primarily in the United States.
NEUT28|Super Valu Incorporated Board of Directors declared a regular quarterly dividend of eight and three quarter cents per share.
NEUT29|The dividend is payable on March 15 to stockholders of record as of the close of business on March 1st, 2010.
NEUT30|Super Value Incorporated operates as a grocery retailer in the United States.
NEUT31|"For more information about these dividends an other announcements go to cdtv.net."""
