NEUT0|"""He selling investors and welcome back to another video."
BULL1|So today we have to talk about Microvision man absolutely crazy moves yes and see Microvision literally literally going up almost 25% this morning.
NEUT2|Man, this stock absolutely insane.
BULL3|You know we saw a huge increase like last week and yes to see that it continues to go up now before I continue.
NEUT4|Yes yes enjoy short video St to the point drop a like.
NEUT5|Subscribe in Toronto.
NEUT6|School certifications now.
NEUT7|If you guys don't know Microvision right here, it engages in the development of laser beam scanning technology.
NEUT8|Now if you guys don't know.
NEUT9|I used to talk about this penny stock woo back like in May June when it was literally like around a dollar or so.
NEUT10|I was telling this man, this is a good penny stock man.
NEUT11|There's a lot of potential in this company.
NEUT12|Who knew that literally by the end or the beginning of this year this penny stock will just start to grow once again so once easy to understand about Microvision back then you know with the whole cover.
NEUT13|When I barely started like around March, April, may they were actually developing a product, you know so where it would be?
NEUT14|Easier for people to, you know, scan or or check you know what is an individual's young temperature.
NEUT15|You know whether they have a fever or not and that helped them for awhile.
NEUT16|He doesn't see it slowly started going up to like $2.00, almost $3.
NEUT17|And then it dropped and then once again now going back up.
NEUT18|But one thing is need to understand about the stock right now is right now.
NEUT19|It's there's no news you go on, you know on Google or Yahoo Finance you won't find that many news for Microvision.
NEUT20|So right now.
NEUT21|This song just continues to go up and remember it can be very risky when a stock is going up and there are no news.
NEUT22|Always remember that.
BEAR23|OK, so right now my predictions for this is it's probably going to continue to go up, but if we don't get any news soon, it's just going to crash back down.
NEUT24|So let me know what you guys think about that.
NEUT25|Now if you guys don't know, usually when the stock is doing amazing, Robin Hood is at some point is going to restricted from from not being able to buy more shares.
NEUT26|So right over here we have we bought you get 4 free stocks.
NEUT27|The link is down below.
NEUT28|Sign up deposit $100.
NEUT29|You get 4 free stocks that I'm giving away.
NEUT30|$50 to a random person literally this morning I got 12345.
NEUT31|I'd have five free songs that around $30.
NEUT32|That's $180.00 right there guys so I mean 150?
NEUT33|Why am I bad at math?
NEUT34|So guys where he is waiting for a man?
NEUT35|Go claim your free socks.
NEUT36|Let me know down in the comments section below.
NEUT37|What do you think about this?
NEUT38|But I hope he does enjoy if you do give it a big thumbs up.
NEUT39|"And I will see you guys on my next video."""
