BULL0|"""Hello dear traders, and welcome again that stocks advisor channel."
NEUT1|Today we would like to introduce you a new service available at our channel and this service allows you to request a video of your interest.
NEUT2|Are you looking for video?
NEUT3|Sometimes at YouTube with the technical analysis, but you cannot find one?
NEUT4|Well, this is not a problem anymore because within our channel you can request the video of your interest.
NEUT5|This is very easy to do.
NEUT6|To do this just follow the next three steps.
NEUT7|So the first step, please follow the pipe.
NEUT8|All me.
NEUT9|A link provided in the description to this video.
NEUT10|There you can add $9 per video of your interest that you can press next button and as a second step you will be advised to add in the note of this payment the ticker name you would like to be analyzed and you would like to be appearing as a video at our channel.
NEUT11|Please make sure that this is a ticket rated at NASDAQ or New York Stock Exchange.
NEUT12|Also we advise you to check the.
NEUT13|Paying for goods and services.
NEUT14|Box, because this way will be protected by Piper purchase protection policies.
BULL15|Since we would like our traders to be protected in the best way possible, interacting with us well.
NEUT16|After that you just need to wait and within three days the video should be appearing at our YouTube channel with the analysis of the ticker of your interest and of course due to ethical considerations we would like to know that there are three types of stocks we do not provide opinion on and these are stocks engaging in financial services and.
NEUT17|Loans related activities the companies are working in self defense and offense areas and of course companies working in alcoholic beverage productions.
NEUT18|These are just free exclusions.
NEUT19|We do not provide opinion on for the rest of companies trading at NASDAQ and New York Stock Exchange.
NEUT20|You can request the analysis and then the video will appear within the three days at our YouTube channel.
NEUT21|I hope you will like this initiative and this is actually interested following after the small movie made at our channel and many people said they will be interested in this activity.
NEUT22|So now it is available.
NEUT23|Please try it.
BULL24|Good luck and I hope you will like it.
NEUT25|Please also write in comments to this video how you liked it and if you would like something else to appear at our channel we will try to make it happen for you.
NEUT26|"Thank you and see you at another episode of Stocks Advisor Channel."""
