NEUT0|"""See ya yo yo, you guys already know it's your boyfriend, young guys."
NEUT1|You already know what the board says after your Tilray merger could go down as soon as April I got the link in the bottom Motley Fool report.
NEUT2|Make sure you guys check it out.
NEUT3|Also guys he already knows your boyfriend you were going to go into details.
NEUT4|Smash that like if you enjoy this content.
NEUT5|Subscribe to my channel so you can get this daily content guide.
NEUT6|Let's go guys Motley Fool.
NEUT7|Report by Andrew Button.
NEUT8|Alright is titled after your ink could be the biggest company as soon.
NEUT9|As next month for cannabis guys.
NEUT10|Alright, let's go into details guys.
NEUT11|So what did that article say though?
NEUT12|I'm just going through the disguise, the important stuff the article talks about the Aphria Tilray merger is set to close in quarter two alright quarter two.
NEUT13|I guess that's quarter two starts in April.
BEAR14|Guys April is one month away.
BEAR15|Baby insiders are saying the deal could go down as soon as April guys insiders were inside.
NEUT16|Are the guys.
NEUT17|You know what I mean that stick their noses in, you know they got the big money.
NEUT18|And they want to know what's going on before everybody else does so at the insiders are saying that guys, it's a good look.
NEUT19|I'm assuming April to May is probably the most likely that we're going to see African Tilray merger alright, right now, Canopy is only ahead of African Tilray by market cap alright only by market cap, Aphria and Tilray.
BULL20|When this merger goes down, will have more quarterly revenue than Canopy growth, which is great.
BULL21|Plus guys other article mentions till rate just posted a profitable quarter which means African Tilray have a good record that will eclipse exact quote from them from the article that will eclipse all other competition in cannabis guys.
NEUT22|Hell yeah man that's what we want right shareholders you know.
BULL23|I mean you want to know that you're investing in the best company out there and clearly call Aprea Tilray are going to be the best company in the game.
NEUT24|The article also talks about US expansion.
NEUT25|All this stuff go ahead and check it out guys, but I'm just giving you the gist 'cause you know what I mean.
NEUT26|It's your boyfriend.
NEUT27|Yo guys, if you enjoyed this little content, make sure you subscribe to my channel Smash that like so you can get these daily updates bro.
NEUT28|Oh another thing keep in mind guys as these reports are coming out and more rumors start coming out about the merger.
NEUT29|I'm expecting those stocks that start to take up a little higher because you know everybody with anticipation.
NEUT30|All those all those swing traders and day traders.
NEUT31|They like to buy in.
BULL32|On rumors, you know what I mean, so I'm expecting the stock to go up a little bit guys.
NEUT33|That's my video man.
NEUT34|You already know that your boyfriend will subscribe to my channel bro.
NEUT35|"Smash that like you like you do later."""
