BULL0|"""Hope you guys are doing fine."
NEUT1|Many of you guys have been asking us on investing in the stock market.
NEUT2|San Gold related front.
BEAR3|Guys markets are appearing to be stable right now but from 23rd September 2020 onwards you will see markets diving into deep negative territory.
NEUT4|If you are already invested in the current markets, I will suggest you to square up your positions by September and as we had predicted earlier that February 2021.
NEUT5|Again, we're going to witness the six planetary conjunction in a single house and this shell cause lots of ups and downs on a global scale.
BEAR6|As far as gold is concerned, gold will fall drastically once it touches 50,000 levels.
NEUT7|Any investing in the stock market rent should be taken up only from May 2021 onwards and not before that.
NEUT8|So for now.
NEUT9|This much only and we shall connect again with you guys on any other topic very soon.
NEUT10|Hope you guys have subscribed to a channel if you're not yet subscribed, please do so.
NEUT11|Our channel name is at Ultimate Astrologer.
NEUT12|Also, do press the Bell icon to receive instant notifications about any new update from us.
NEUT13|"Till then, take care."""
