NEUT0|"""We haven't really gotten your report card on Buffett's letter."
NEUT1|The defense of buybacks, at least his own buyback, not not all buybacks, and this lack of commentary, either onspex really or on GME.
NEUT2|Although Munger took care of some of that last week.
NEUT3|Yeah, I mean, I think that what he basically said was look if you're a long term investor, you can do well, and I think that was a very wasn't.
NEUT4|It really wasn't an offhanded attack or anything.
NEUT5|Just like hey guys, younger investors, you can do really well if you compound.
NEUT6|Obviously he is preferred people to just put money in an index fund.
BEAR7|The most jarring thing was the Precision Castparts, which was the company that they obviously pay too much for.
NEUT8|That's his words.
NEUT9|37 billion he came on a squawk box that morning and he said he's paying a very high multiple and it was highly unusual for him to do that.
BEAR10|It was the largest acquisition and it was a bad luck with $11 billion right down.
NEUT11|So coral, very self effacing letter.
BEAR12|Yeah, he did say not his only mistake, but in his words that was a big one.
BEAR13|It says it paid too much.
NEUT14|Shepard Smith here.
NEUT15|"Thanks for watching CNBC on YouTube."""
