BEAR0|"""Traders, investors it's late."
NEUT1|But got to talk about the things they loosen multicode is worth it.
NEUT2|But yeah, yes, it's one of the good ones and I spent a lot of time in this group paying this kind comment about 10 years, but I sold the Churchill capital.
NEUT3|I said add darn it all.
NEUT4|I wish I'd got that before because they're very very smart people.
BULL5|Yeah, I think you're OK to.
BULL6|I think it's a good situation.
BULL7|I know expected, but I think it's good.
NEUT8|I want to go to school.
NEUT9|Well, who rogem?
NEUT10|Not today Satan.
NEUT11|I don't know man.
BEAR12|You hate to love him.
NEUT13|You love to hate him.
NEUT14|But man, look at what's going on with this, so there's nothing confirmed yet other than the fact that they're talking.
NEUT15|Churchill capital Civ.
NEUT16|Is talking to lucid Motors.
NEUT17|There's nothing confirmed yet, but we have some stuff and things going on.
NEUT18|I mean the price action is crazy.
NEUT19|And you had all Jimmy boy saying that he wish he got in and that he thinks it's OK that it's safe so you know you never really listened to him.
NEUT20|You just take knowledge is power right?
NEUT21|So?
BEAR22|That, along with all the other speculative fuel, has just sent this thing.
BULL23|I mean, we're we're almost up 100% in two days now.
NEUT24|So.
NEUT25|I'm going to be watching this very closely.
NEUT26|I got in today.
NEUT27|Missed this yesterday.
NEUT28|But I got in on this this morning and oh man.
NEUT29|Epic, so going to be watching this closely.
NEUT30|Got a trail stop in place and yeah, we will ride this thing out, but anyways.
NEUT31|I know some people were probably wondering what's going on.
NEUT32|You know what's been fueling this thing, especially after hours?
NEUT33|You know where it did, almost the same move if not cleaner and bigger than the move it made during market hours today so.
BEAR34|Yes, old Crazy Boy is likely to blame and FOMO and speculative fuel is taken over so.
NEUT35|That is it.
NEUT36|Let me know.
NEUT37|In the down there we can dig into this little bit deeper, but I just wanted to get you guys this out real quick.
NEUT38|Hit the thank do the stuff you know the drill.
NEUT39|Follow me on this stuff and things.
NEUT40|If you don't join the discord.
NEUT41|"I'll catch you boys in the next one hope."""
