NEUT0|"""Thunder and ticker symbol air or air UN."
NEUT1|We're going to see that based on the analyst point of view, this is a boy and is an 87% by based on 15 analyst.
NEUT2|But and with a price target of $82.
NEUT3|But I think that this is not the right moment by Becaused, while if we go on the four hour chart and withdraw simple simple simple horizontal line on the old resistance right?
NEUT4|And let's go back to the one day chart, right?
NEUT5|This was a resistance for a very long amount of time.
NEUT6|As you can see.
NEUT7|Look, look, look at operation one.
NEUT8|Touch to touch is free, touches full touches and then down we go.
NEUT9|We went above then we touch it again then down and now that we are above this resistance were training at a higher level and breakout.
NEUT10|We became an actual good company to invest in and let's see where is the moment to buy?
NEUT11|When is the moment to buy and at what price?
NEUT12|So if we go out to draw channel of this downtrend we could see that.
BEAR13|The channel, for example, is now opening resistance.
BEAR14|The moving averages are going down.
BEAR15|The 100 is going below 300 and 200, so that's pretty bad.
BULL16|We are seeing that there is some resistance at the $50 and $45.00 level right here and a little bit of the 50, but I think this not break and you will see this on around 20 to 25 to $30.00.
NEUT17|So this is a bison in my opinion.
NEUT18|If you like this stalker alesys, there is another stock that follows this one that is pretty similar.
NEUT19|The reason that the reward that you have for this particular play?
NEUT20|If you buy right now is about.
BULL21|Some 80% profit with a.
NEUT22|60% loss and if you wait for.
BEAR23|A potential deep in the next week.
NEUT24|You have a potential reward of 140% with 50% loss, so that's about 421 risk reward and this is a very good play for the future, especially if you're.
NEUT25|Trying to invest in it instead of trading it and keep it for the actual long run.
NEUT26|And then yeah, if you like this video, remember to like subscribe and check out the links in the description.
NEUT27|"I'm not a financial advisor and peace the next company we're going to talk about is some."""
