NEUT0|"""Cdtv.net dividend report is brought to you in part by 1M3 Corporation."
NEUT1|IT solutions for banking and finance.
NEUT2|Call them at 917-686-3485.
NEUT3|I'm John Hannah and here are the CD tv.net David and report for Tuesday, August 17, 2010.
NEUT4|Cdtv.net covers dividend paying stocks.
NEUT5|Earnings reports, dividend announcements and company profiles.
NEUT6|But first, here's today's CDT without.
NEUT7|Net top stories.
BULL8|Lowe's companies incorporated reported diluted earnings per share increased 13.7% to $0.58 from 51 cents in the second quarter of 2009.
NEUT9|Analysts average estimates were $0.59 per share.
BEAR10|Lowe's misses by a penny.
BULL11|Net earnings were $832 million for the quarter ended July 30, 2010, a 9.6% increase from the same.
NEUT12|A year ago, Lowe's Companies Incorporated is the world's second largest home improvement retailer and now the dividend report.
BEAR13|The Board of Directors of Baxter International Incorporated declared a quarterly dividend of $0.29 per share.
NEUT14|The dividend is payable on October 1st to shareholders of record at the close of business on September 10, 2010.
NEUT15|Baxter International Incorporated is a global diversified healthcare company.
NEUT16|The Board of Directors of BD, Becton, Dickinson and Company declared a quarterly dividend of $0.37 per common share payable on September 30.
BULL17|To holders of record on September 9, 2010, Becton Dickinson is a leading global medical technology company.
NEUT18|Coca Cola Enterprises Board of Directors declared a regular quarterly dividend of $0.09 per common share dividend is payable September 23rd to share owners or record on September 10, 2010.
NEUT19|Coca Cola Enterprises is the world's largest marketer, distributor and producer of bottle and can liquid non alcoholic.
NEUT20|"Refreshment For more information about these dividends an other announcements go to cdtv.net."""
