NEUT0|"""Hey, what's up everybody?"
NEUT1|Welcome back to a brand new video.
NEUT2|In today's video, we're gonna have a look at that business talk and see how they're doing.
BEAR3|Because there has been some big spikes going on in the past day or so.
NEUT4|Or we can say hours because it hasn't really been days because I wanted to make a video yesterday about this, but I couldn't because Disney is going really know everyone was gonna say Disney is closing down business, shutting down that Disney can't do it anymore, but right now.
NEUT5|There has been some big spikes, so let's just get started.
NEUT6|So first we're going to look at the hours in the fur in the last hour.
NEUT7|Let's see how they were doing.
NEUT8|So as you guys can see in the last hour, they're doing good as, so the loose parts were around here, which was at Solomon to Scroll down to check what time that was, because we really wanna know the times.
NEUT9|So around here, which was three to earn 2:30 PM and the big parts were.
NEUT10|Around here, yeah, that's the highest one it went which is at 108.06.
NEUT11|And now let's look at the past four hour because once last time I presume the past four hour it was something really really crazy.
NEUT12|So let me just get rid of this.
NEUT13|So right over here, as you guys can see in the past four hours.
NEUT14|Look at this.
NEUT15|Look how high it was, an look how low it went.
NEUT16|It was up to 139 guys 139.
NEUT17|Now it's at 106.24 so it was legit 114 it was $144.
BULL18|The highest point it went in the past 24 hours.
NEUT19|And now let's look at the day.
NEUT20|So we want to look at the whole day.
NEUT21|So I really wanted to make a video about this like a bit.
NEUT22|Before then I'm recording it right now.
NEUT23|I wanted to make it before this spike because there was.
BEAR24|It was going really, really low before this spike.
NEUT25|It was like Andrew.
BULL26|3020 right now it's going great.
BEAR27|It's still low 106 so.
NEUT28|I just wanted to share this to show you guys how they're doing.
NEUT29|"You guys got any value out of that's much like when I subscribe and also in tomorrow's video or in the next video, peace."""
