NEUT0|"""I'm Christy Defever smart try news."
BEAR1|Berkshire Hathaway traded in a range yesterday that spanned from a low of $76.29 to a high of $78.05 yesterday, the shares fell about 2 1/3% which took the trading range below the three day low of $77.00 on volume of 4.5 million shares.
BEAR2|Shares of Berkshire Hathaway are currently trading below their 50 day moving average.
BULL3|Of $80.57 and should find support at their 200 day moving average of $70.39.
BULL4|Look for these moving averages to provide resistance for a short term rebound in the shares.
BEAR5|Smart trend is bearish on shares of Berkshire Hathaway and our subscribers were alerted to sell on April 16th of this year when it was at a price of $77.88.
BEAR6|It is since fall on 1.6% since that alert was issued.
BEAR7|SmarTrend has the shares in a downtrend and expects the share price to rebound to the $77.00 resistance level.
BEAR8|Afterwards, we expect that to move downward with its peers in the SmarTrend multiline insurance industry.
NEUT9|I'm Christy Duffy for Smartfriend news from Warren, Berkshire Hathaway and SmarTrend alerts.
NEUT10|"Visit our website tradethetrend.com."""
