BULL0|"""Yeah, it's funny."
BEAR1|I was thinking about what to say to you and if it had been awful.
NEUT2|I was don't take it personally because Doug this quarter I remember in the previous quarter you said listen, you gotta believe in me.
NEUT3|We're gonna do this.
NEUT4|We do this and you know what?
NEUT5|They didn't and not only did you do that, but you far exceeded that.
NEUT6|You obviously have the products people want, including for a company that our viewers know well Shopify.
NEUT7|Tell them what you do for that.
NEUT8|'cause that is a classic case of what you need Splunk for.
BULL9|Yes, it's a great great company, obviously growing by leaps and bounds.
NEUT10|It's everybody went virtual Shopify, that is, they are cloud native organization and to do the continuous updates that they need to do to please their retailers and their customers, they've got to have an eye on massive amount of data that their developers are constantly pushing and analyzing to make sure that the shopping experience is as effective that the code is high quality.
NEUT11|That's hundreds of terabytes of data per day.
NEUT12|They need someone that can tap that data, analyze it, extract metrics, extract traces, extract insights, information so that they have the overall confidence in their code and Splunk is there as the solution in an area that the endless are calling.
BULL13|Observe ability to ensure that the experience that all of us have to Shopify is as great as it has been and continues to get even better.
NEUT14|Don't miss a second of mad money.
NEUT15|Follow at Jim Cramer on Twitter.
NEUT16|Have a question?
NEUT17|Tweet Cramer hashtag mad tweets send Jim an email to mad money at cnbc.com or give us a call at one 807 four three CNBC Miss something Ed to madmoney.cnbc.com.
NEUT18|Shepard Smith here.
NEUT19|"Thanks for watching CNBC on YouTube."""
