BULL0|"""Hey everyone, and welcome back to another video."
NEUT1|So we're going to talk about Naked brand and we're going to discuss how pretty much naked brand has been dropping.
BEAR2|A lot of you know the market has been dropping in general a lot of penny stocks have been dropping as well, so there's a little bit of a discount right now.
NEUT3|But before I continue as if you guys want to know more about these hot penny stocks or hot stocks in general, guys drop a like subscribe and most importantly turn on those post certifications.
NEUT4|So yes, do not miss out and you guys you know pretty much start making money.
NEUT5|Man, you know we have a lot of stocks right here where we're making a lot of money.
NEUT6|So yes, do not want to miss out on that on top guys don't get restricted here on Robinhood.
NEUT7|Definitely open account here on Weibo.
NEUT8|You get a lot of cool stuff alot of perks, way more than Robin Hood and you get 4 free socks if you sign up using the link down below you have to see for Facebook.
NEUT9|I got a free Facebook stock guys.
NEUT10|I get $30 socks.
NEUT11|You know every single day.
NEUT12|So I definitely encourage you guys to you know sign up using the link down below and I'm going to be giving away $50 to a random person that signs up and deposits $100 into their account.
BEAR13|So once again, the link is down below.
NEUT14|Sign up now.
NEUT15|Naked brand.
NEUT16|OK, you guys don't know what naked brand is.
NEUT17|No it is not the naked choose but it actually has to do with clothing.
NEUT18|OK so one thing I need to understand is right now it is currently around a dollar.
NEUT19|If you guys don't know we look at this for the past three months.
NEUT20|You'll see how slowly this stock started to go up very quickly.
BULL21|It was Rick around $0.40 and then it just started boosting up all the way to a whole dollar.
NEUT22|Almost going up to $2.00 a month for my price predictions for this stock is eventually it can hit $2.00 in the future now.
NEUT23|Keep in mind a lot of these penny stocks is a long term investment.
NEUT24|OK, literally.
BEAR25|When I look back there was a lot of socks that were literally under a dollar.
NEUT26|Right now a lot of them like around 15 dollars, $20.00.
NEUT27|So it's crazy to see you know.
NEUT28|Penny stocks like this grow, but I want to know down in the comments section below, what do you think about naked brand right now?
NEUT29|There aren't any news when it comes to naked brand.
BEAR30|That's the reason why this stock is slowly starting to drop.
NEUT31|Eventually when we do get used, I will keep you guys updated on this hot stock, but let me know where is.
NEUT32|What are your opinions on this?
BULL33|Hope you guys enjoy.
NEUT34|If you do give it a big thumbs up.
NEUT35|Don't forget to claim your free stocks on Weibo.
NEUT36|"Sign up, deposit $100 and get a chance to possibly win $50 and I will see you guys on my next video."""
