NEUT0|"""Neo stock analysis and predictions, February 21st."
NEUT1|In today's NEO stock analysis and predictions, large fund buys more NIO stock.
NEUT2|Alright, let's get started.
NEUT3|South Korea's sovereign Wealth fund recently made big changes in some of its biggest US traded stock investments.
BULL4|Career Investment Corp substantially increased investments in electric vehicle firms.
BEAR5|An Iowan halved its investment in General Electric stock.
NEUT6|The Fund disclosed the trades, among others, in a format filed with the Securities and Exchange Commission.
NEUT7|The fund bought 200 and 95,687 more American depositary receipts of NIO to end 2020 with 600 and 42,000 and 87 ADR's of the Chinese EV maker.
BULL8|Nio Adrs rocketed more than 12 times in value in 2020.
BULL9|So far in 2021 through Friday's close they have gained 12.9%.
BULL10|In comparison, the S&P 500 Index, a measure of the broader market, rose 16.3% in 2020 and is up 4.0% year to date.
BEAR11|Although Nio pulled back 5% last week, more large corporations bought out more.
NEUT12|NIO stocks such as BlackRock.
NEUT13|What everyone is waiting for his company's earnings report, which is scheduled for March 1st.
NEUT14|Anio vehicles could be sold in the US soon.
BULL15|Deliveries have been strong.
NEUT16|That's what's been happening this week in the world of Neo.
NEUT17|Stock analysis and predictions.
NEUT18|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT19|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL20|We'd really appreciate it.
NEUT21|Are you still watching and want more?
NEUT22|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
