NEUT0|"""Alright, what's up guys?"
NEUT1|Ship will back down to video today to be talking about Tesla ticker symbol TSLA.
NEUT2|And we give you guys my Tesla stock analysts and my Tesla stock predictions and also some support Lowe's that I see.
BEAR3|It is down after hours to about 8:20 like around this area right here and I wanted to drop all the way below 800 below 800 I will start getting in a lot of shares on Tesla.
NEUT4|I am long bullish longer term.
NEUT5|So make sure you guys like the video.
NEUT6|Hit that describe button.
NEUT7|Turn post notifications so you don't miss the updates on stocks and also check out my Patreon page if you guys want to know when buying and selling stocks and to support the channel so they did have earnings today and their earnings was good in my view.
BULL8|I am bullish on Tesla longer term.
NEUT9|I think this is a wonderful stock to hold.
BULL10|So these will support levels that I had throughout the day.
BULL11|As you can see, they held nicely.
NEUT12|So if we zoom in.
NEUT13|So this is all after hours earnings, so don't look at this right now, but look at this.
NEUT14|I had my line at eight 5905 and a defense at 850.59.
NEUT15|So at eight 5509 look at the low appear, look at the low, the low was 858.66 and I had the support at eight 5905 almost exactly correct.
NEUT16|Not many people get exact price action like that, but I do.
NEUT17|That's why I said you guys want to check out my Patreon page down below.
NEUT18|So on Tesla stock it did come down here support reject it off and then traded sideways into earnings, right?
NEUT19|Tesla stock getting really move that much, it is wait it was waiting on earnings so the earnings that I got is bullish.
NEUT20|So if it goes below 800 I would get a lot of shares even if it around 8:20 and below I'm gonna start getting the chairs around this area.
NEUT21|And this support at 774 is where I think we'll be able to see some buying action off if it does start dropping all the way down here, I think we could see some buying offer this opportunity, but below 800 I will be getting in shares an I will be holding that $2000 and more.
NEUT22|But if it does break this support level, my next support is real.
NEUT23|Is literally like all the way down to around 7:50 but the drop whenever it drops.
NEUT24|I'm getting into shares.
NEUT25|OK so blowing hundred I'm going to share it with you.
BULL26|I'm buying all shares down there as I am longer term bullish and I did like their earnings.
NEUT27|So just how I'm playing Tesla stock.
NEUT28|Remember this documentation, advice or anything.
NEUT29|"This is for educational purposes only, so do not try anything to see his videos and I'll catch you guys in the next one."""
