NEUT0|"""Welcome to stop motion."
NEUT1|The stock market educational YouTube channel.
NEUT2|Today we're going to take a very quick look at Mustang Bio Inc. Ticker symbol mbio.
NEUT3|Please remember all uploaded content is strictly for educational purposes only and is only my opinion.
NEUT4|Guys, while you're here, please hit them like and subscribe buttons and help us grow this channel so we can continue to bring content your way.
NEUT5|Without further ado, let's get into it.
NEUT6|Mustang Bio Inc, a clinical stage biopharmaceutical company focuses on translating medical breakthroughs in cell and gene therapies into potential cures for hematologic cancers, solid tumors, and rare genetic diseases.
NEUT7|Its pipeline focuses on gene therapy programs for rare genetic disorders, chimeric antigen receptor, CAR engineered T cell, Carty therapies for hematologic, malignancy's and Carty therapies for solid tumors.
NEUT8|The company developed MB 107, a gene therapy program.
BULL9|Potential curative treatment for X linked severe combined immunodeficiency, a rare genetic immune system condition in which affected patients do not live beyond infancy without treatment.
NEUT10|It's ex vivo lentiviral gene therapy is in two Phase 1/2 clinical trials.
NEUT11|The company also develops MB 102 are hetero dimeric interleukin, three receptor for acute myeloid leukemia, MB 106 for immunotherapy of B cell lymphoma's MB 104 and NK cell receptor regulating immune functions MB 101 car T cell program for glioblastoma MB 103 car T for glioblastoma multiforme GBM and metastatic breast cancer to brain MB 105 CAR T for prostate and pancreatic cancers and MB 108.
NEUT12|The next generation oncolytic herpes simplex virus.
BULL13|It has a license agreement with Nationwide Children's Hospital for the development of an oncolytic virus for treating GBM and Beth Israel Deaconess Medical Center, Inc to perform research relating to gene editing.
NEUT14|The company was incorporated in 2015 and is headquartered in New York, NY.
NEUT15|Mustang Bio Inc is a subsidiary of Fortress Biotech Inc. Mustang Bio last announced its quarterly earnings data on November 11th, 2020.
BULL16|The reported 23 cents EPS for the quarter, beating analysts consensus estimates of $0.25 by two cents.
BULL17|Mustang Bio has generated $1.29 earnings per share over the last year.
NEUT18|Mustang Bio has not formally confirmed its next earnings publication date, but the company's estimated earnings date is Monday, March 15th, 2021.
NEUT19|Based off prior years report dates, insider ownership is 3.39%.
NEUT20|Insider buying in the last 12 months is 1,000,000.
NEUT21|500 and $71,499.50.
NEUT22|Insider selling in the last 12 months is $0.00.
NEUT23|Institutional ownership is 25.75%.
NEUT24|Full Wall Street analysts have issued ratings and price targets for Mustang Bio in the last 12 months.
NEUT25|Their average 12 month price target is $11.00.
BULL26|Predicting that the stock has a possible upside of 129.17%.
NEUT27|The high price target for mbio is $13.00 in the low price target for mbio is $7.00.
NEUT28|There are currently four buy ratings for the stock, resulting in a consensus rating of buy.
NEUT29|Please remember I am not a financial advisor and you are responsible for your own trades.
NEUT30|Please do your own due diligence before investing any money in the stock market.
NEUT31|As always, if you like the video, please help us grow this channel by hitting the like button and subscribe for more content.
BULL32|"Thanks for watching and take care."""
