NEUT0|"""BNGO Bionano genomics stock."
BULL1|So we're currently at $9.03 with a very nice day.
BULL2|On Friday, up five point, 12% going into next week.
NEUT3|We've seen here.
BULL4|We've had a really big consolidation on this green line here.
NEUT5|The 903 area.
BEAR6|This is a very, very big resistance area here.
BULL7|It's not been able to break over the 10 area since we dipped under it here, so it's going to be very interesting to see.
BEAR8|If the stack will have enough power to get over this 10 area, you can see the the volume has significantly declined.
NEUT9|The volume is this the candles here?
BULL10|The candles here were significantly higher.
NEUT11|Then they are.
NEUT12|Now you can see there's almost no volume on being Geo.
BEAR13|Almost all of the hype is gone away from where people have totally forgotten about being Geo.
NEUT14|Anan.
BULL15|If there is a push forward, they would have to come with a significant uptick in the volume.
NEUT16|And This is why it's so much consolidating.
NEUT17|I wanted to get in it.
NEUT18|6 area I missed out on it.
NEUT19|I just I was this area here in my life was a little bit hectic and I couldn't get into the six area which I wanted to while it was dipping.
BULL20|Now it's recovered back to the 9 area with.
NEUT21|We had a high of 15.69, so it's going to be very interesting to see you know what I want to redo the fibbonaci and I'll just pull it.
NEUT22|Here we go here from here.
NEUT23|This was the low.
NEUT24|This is a new area that we would have to take into consideration.
NEUT25|What happened back here is a little bit irrelevant to what's going to be happening going forward.
NEUT26|I think this is a better take on it if we look at the RSI.
NEUT27|We're right in the middle of the 47 area, so it's not too over, but it's not too oversold.
NEUT28|The Magdi is concerning still, so it's not a really a buy signal yet, so we the Mac D is still under the blue is under the yellow.
NEUT29|I like to wait for it to cross so when it crosses that would be when I would get in.
NEUT30|I like to get on the 2nd floor, get out of the penthouse like the tribe members say and the stochastic all the red is over the purple so we're still in a consolidation area.
BULL31|Would have to jump out of it next week and retest this 10 area so we could continue to go up.
NEUT32|There supposed to be some big catalyst.
NEUT33|Next weeks is some some news that's supposed to be coming out.
NEUT34|Being Geo is a very, very interesting for long term, but if we're looking at it for a short term, I think we could see a consolidation between the nine and 10 area for the next few weeks.
NEUT35|I want to remind you that I'm not a financial advisor and you always have to do your own due diligence about these tax.
NEUT36|Thank you for watching.
NEUT37|I hope to see you next time and like I always say guys, let's make some.
NEUT38|Money subscribe ring.
NEUT39|The Bell smash.
NEUT40|"The like button I forgot."""
