BULL0|"""Hey everyone, and welcome back to another video."
NEUT1|So today we're going to talk now talk about another hot penny stock right now that you do not want to miss out if you missed out, too bad, that's the end of it guys.
NEUT2|But you might have another opportunity in the future.
NEUT3|Why not take this one right now?
NEUT4|So today we're going to talk about casters.
NEUT5|CTRM guys.
BEAR6|This is such a hot penny stock right now that it literally it dropped.
BEAR7|OK, it was doing absolutely amazing knows I got around $1.30 and then it dropped to as low as $0.65.
BEAR8|But guys the market was dropping.
BEAR9|They continue to drop.
NEUT10|Why was it dropped milk as inflation?
NEUT11|It was absolutely crazy if you bought some Congrats man, but look at this now.
BULL12|Going up to literally as high as $1.03 and it continues to go up.
NEUT13|The market is going to open in a few minutes.
NEUT14|Guys do not miss out on this if you guys don't know there's a lot of news when it comes to this, but I just want to analyze the chart right now and some predictions that I have for this one.
NEUT15|OK, if you guys don't know as to do you know with shipment everything like that they actually have been buying Dash.
BULL16|I believe they bought 2 a huge ships right now and that's really what's helping them up.
NEUT17|But if you guys don't know this is a stock that a lot of people are also investing in hyping up now keep in mind I'm not a financial advisor.
BEAR18|OK, but guys, this stock right now it's going to blow up.
NEUT19|OK now if you guys don't want to get restricted here on Robin Hood guys, I incur encourage you guys man to open up an account with Wilson.
NEUT20|See the link is down below.
NEUT21|Sign up deposit $100 and this is the best part.
NEUT22|OK the best part is guys look you get stocks that are worth like around.
NEUT23|I don't know like 200 three $100 I receive Facebook.
NEUT24|Apple, Microsoft free stocks.
BULL25|I have received AMC free stocks guys.
NEUT26|These are really good socks that I'm going to be giving away $50 to a random person that uses my link down below to sign up.
NEUT27|So if you guys don't know Casterman with the new vessels they continue to buy some.
BULL28|They're doing amazing.
NEUT29|The company is doing great and soon we're going to know more about it but guys I gotta keep you guys updated with the hot stocks.
BEAR30|Once again the link is down below.
NEUT31|Sign up deposit $100 so you could also you know get free socks on Weibo and you could use that money.
NEUT32|Or you know free stocks to sell him and buy stocks like this, but I hope you guys enjoy.
NEUT33|"If you do give it a big thumbs up and I will see you guys on my next video."""
