BEAR0|"""Hello I want let's take a look at the Apple stock we can see today Apple make a big drop."
NEUT1|It's a 4.63%.
BULL2|It's a huge job and it made a.
NEUT3|Big Red candle covered all the candles before it and with a huge volume compared to yesterday, the day before yesterday it means the job hasn't been stopped here it will continue because the volume say stop needs to go out.
NEUT4|And also if we checked I'm a city like we can see the Red Barn has go larger and it's not a smooth move so it's a large move.
NEUT5|It's very exciting for the Apple stock and the most pessimistic thing is that.
NEUT6|It has confirmed the.
BEAR7|Piercing of the EMS, the yummies supporting has been invalid and the next stop will be.
BEAR8|Here is the 104, so before any fundamental change can be seen from the market, we think the currently downtrend for the Apple stock will continue.
BEAR9|We can see the down trend is very clear here.
NEUT10|So in my opinion, now this top and this top will be a very.
BULL11|Important upside resistance in medium for Apple stock.
BULL12|"Thank you."""
