NEUT0|"""Neo stock analysis and predictions, January 26th."
BEAR1|In today's NEO stock analysis and predictions, why NIO stock is dropping today?
BEAR2|Alright, let's get started NIO stock is down 1.42% as of 1145 Eastern Standard Time due to lockdowns in major cities, which is now causing a food shortage in parts of the country.
BULL3|Anio rallied up 6.13% on Friday due to an upgrade by Nomura analyst that stated, NIO was the future in electric vehicles.
NEUT4|According to the Nomura analyst.
BULL5|NIO is projected to rally.
BEAR6|30% in the upcoming months reason for the drop residents of major Chinese cities have been locked down yesterday due to the spread of the Covid virus, which is now causing an outcry about food and medicine shortages.
BEAR7|A large amount of citizens in major Chinese cities are left trapped in their apartments without supplies for more than a week, according to One citizen.
BEAR8|We are locked down by the virus and as a result we are dealing with hunger and basic illnesses.
BEAR9|China has had a relatively low incidence of COVID-19 up until yesterday where the virus was rapidly spreading throughout major cities.
BULL10|Leading local governments to implement strict lockdowns to control small and recurrent outbreaks.
NEUT11|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT12|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of NIO stocks and predictions.
NEUT13|If you enjoy this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL14|We'd really appreciate it.
NEUT15|Are you still watching and want more?
NEUT16|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
