BULL0|"""Welcome to locate Jennifer."
BULL1|We talk about undervalued projects that have the potential to anywhere from 10X to 100X over the top of the bull run.
NEUT2|Ultimately, this is just our opinions.
NEUT3|We can't guarantee anything.
NEUT4|We're not financial advisors, but ultimately this one seems like it has some potential.
NEUT5|Right now.
BULL6|It's at 129 hundred $30 million market cap up, about 67% today.
NEUT7|It's volume is actually almost a billion dollars.
NEUT8|It's a seven times with the market cap is.
BULL9|So really great to see that it's not on too many watchlists up and coming for you.
NEUT10|Basically what they do is they build a marketplace for people, anyone really the unbanked.
NEUT11|And like anywhere in the world to be able to earn money through doing work and then ultimately save that money and earn interest on it so that they can grow it an ultimately learn about the entire investment blockchain ecosystem, take care of their families and live a better life.
NEUT12|So ultimately that's what they're aiming to do.
NEUT13|You can look through the website, basically talks about that like.
NEUT14|Building the microtransactions in micro finance.
NEUT15|Basically for small amounts, so people that really have never used bank have the ability to now save that in earn interest on it to try to bring more people out of poverty, 'cause the goal, I think is to get everyone out of poverty by like 2050.
NEUT16|I don't know if that's possible or not, but different companies and projects were trying so it's good to see progress and people actually trying to solve these types of problems.
NEUT17|Ultimately look into it.
NEUT18|It's an interesting one.
NEUT19|It's not available on too many.
NEUT20|Exchanges yet, but if this does catch on and it is found to be really legit in the community builds around it, I could see this being something that could possibly 5 to 10X from here and get up to that billion maybe 5 billion Max at the top of the bull run.
NEUT21|Yeah, time will tell, but we'll see what happens.
NEUT22|Ultimately with the volume so high today, it's possible this could retrace tomorrow, but one to keep an eye on in the longer term.
NEUT23|Ultimately, if you like these type of projects, quick overviews then go ahead and like and subscribe.
NEUT24|And let us know anything else you want in the comments.
NEUT25|Ultimately, everything we say here is just our opinions is not financial advice.
NEUT26|"Any investing new contact certified financial advisor?"""
