BULL0|"""Good morning everyone."
NEUT1|Welcome to chinoike.
NEUT2|Continuing our video series that is talk of the day we have come up with our third prediction, so let me tell you a secret about the Nike Actino IQ.
NEUT3|We have 10 different algorithms namely Jesse, Einstein etc.
NEUT4|They work day and night to give us a prediction about different stock that can be in the number of 102 hundred, 250 and many more.
NEUT5|So out of which we have we only give you 1 prediction or take.
NEUT6|But if you want to know all the predictions we have for a particular day, so you can simply download our app which is available in Play Store as well as Apple Store and let us know how you feel about it and how you are going to invest in it.
NEUT7|So let's get started with tourist prediction.
NEUT8|Today's prediction let me open invite you back.
BULL9|As I feel that today market will go up, I will go for long option.
NEUT10|Till I only have a money to invest for a week, that's why I will go for one week option.
NEUT11|So out of 136 prediction you can see for one week we have 40 stock predictions.
NEUT12|So I can go in that.
NEUT13|So as you can see, there are various options here.
NEUT14|So for today's prediction, I decided to go for Barnes and Noble Education, incorporation.
NEUT15|So here, let's go straight away into the details.
NEUT16|As you can see, the price on prediction date is 8.71 dollar and expected price is 8.88 dollars.
BULL17|So overall we can expect a return of 1.94%.
NEUT18|The probability of happening this is 94.67% and the algorithm name which identified this stock is Jessie.
NEUT19|To get a confidence or this prediction, we can also check quantum analysis.
NEUT20|This chart shows how effective was algorithm Jesse and explaining moment of Barnes and Noble Education incorporation.
NEUT21|As you can see here in 2020, this algorithm identified this stock for two times, and from that 99.5% was the performance an in 2021.
NEUT22|It identified for one time and the performance was 99.01.
NEUT23|So I would say from all this analysis that this algorithm is very much reliable when it comes to this particular stock.
NEUT24|So that's all we have for today.
NEUT25|Let us know in the comment box whether you are going to invest in this top or not.
NEUT26|Also, if you are liking this content, please consider subscribing over channel and also share it with your friends who also invest in stock market.
BULL27|"Thank you and have a great day."""
