BULL0|"""So, ladies and gentlemen, welcome to Werner in this government."
BEAR1|In situation those who lost their job and those are finding it difficult to get a new job.
NEUT2|There is an app developed by Google and by using the tab you can search for the relevant jobs as well as it is 100% verified jobs.
NEUT3|So all the information I have made a video in my Werner reviews channel so the channel link.
NEUT4|Is in my description goals aside to the channel and watch the video and apply further riven jobs you need?
NEUT5|So in this video I'm going to share it a complete technical analysis of JMM further an it will help in position reading an as well as those are invested in the stock.
NEUT6|You must watch this video to know what's happening in the stock and what is the future value so bangun without wasting our time.
NEUT7|Let's move the panel here.
NEUT8|I'm using daily time frame to explain this talk to you and I'm taking the help of support and resistance lines, see here.
NEUT9|From month of June 2 till the August it was taking the support near the level 3955 and after that.
NEUT10|In the month of August, that is.
BULL11|On 7th of August the stock got a good break out of this residence level 4676 and got rallied, got rally till where?
BULL12|It got really till the level 6925 around that level and after that the stock got corrected an gotta support near this level which is dirt 5555 that is 5555 or that level the stock got a good support so after the earth it it rallied till where it rallied till the level.
BEAR13|6377 so after that what happened is that the stock once again got corrected and it is near the first support level, which is the first support level.
NEUT14|The first support level would be fired 00 so now the stock is currently trading at fire 44 there is a support near the level for your 00.
NEUT15|See here.
NEUT16|If there any rivers happens here then it will be.
NEUT17|On a range that is arrange support will be fired 00 and the range residence will be 6377.
NEUT18|Once this 6377 is broken on a daily temperament then we can expect the next immediate important level to watch.
BEAR19|It is 6590, so after that is going to touch this level of 6940 and see here if it doesn't hold this rain support of 5800 then it will fall back to the next important support zone that is double for 55 so.
NEUT20|This is all about the technical analysis of four GMP folder and.
NEUT21|If you find this video worth please like this video and subscribe to my channel.
NEUT22|Unshared with your network, wherever it is possible.
NEUT23|So if you want to learn trading, check my description argument, the email ID you can reach me directly, and if you want to open a trading account, check my description.
NEUT24|I had given the trading account opening link, you can click that link and open up trading account.
NEUT25|So that's all folks.
BULL26|"Thank you so much for listening."""
