NEUT0|"""What's up guys?"
NEUT1|These are my trades for today.
NEUT2|I saw all my Facebook peloton and Humana Facebook at 273 polotan at 149, Humana 383.
BULL3|All three of these I could probably get back into mall, but yes, I'm holding more cash.
NEUT4|I don't see anything worth buying.
NEUT5|I only bought with General Pharmaceuticals at 490.
NEUT6|The downside risk is 475, but the upside is huge.
NEUT7|I took a position here.
NEUT8|I'm willing to take the risk here.
NEUT9|I don't see anything else for today, so I think I'm done.
NEUT10|I wait for an opportunity where they enforce it.
NEUT11|"I'm still observing what the market wants to do."""
