NEUT0|"""Welcome to the Sun Pharmaceuticals Industries Limited stock analysis video."
NEUT1|In this video we would look at fundamentals of Sun Pharmaceuticals Industries Limited and important financial rate issue.
NEUT2|Sun Pharmaceuticals Industries limited.
BULL3|Current price is 649.65, exchange 4.27% higher than previous close its 52 week highs 898.4 M 52 week low as 571.9 companies earning per share is 34 and its price to equity ratio is 18.3.
NEUT4|Stock aspect to price ratio is for Sun Pharmaceuticals Industries Limited.
NEUT5|Return on equity is at 18%.
BEAR6|Company had 7912.74 Ave in view 316 as compared to 8250 point 2,00,00,000 in Q216.
BEAR7|Revenue has been down for a few orders in last one year, which is a concern.
BEAR8|Revenue has been up and down in last few quarters with minus four point 1% in current quarter and zero point, 1% in previous quarters.
BEAR9|Raw food has declined in last few quarters, which is not positive for the company.
BEAR10|Current quarter profit is 1721.8 as compared to 2471 point 1,00,00,000 in previous quarter.
BEAR11|Profit growth rate has been negative in last few quarters.
BEAR12|It has grown minus 30.32% in last quarter compared to 8.97% in previous quarter, which is a concern.
BEAR13|Profit margin is the ratio of net profits revenues profit margin in Q316 is 21.76 as compared to 29.95 in Q 216.
BEAR14|Operating profit for the company in Q316 is 2453.134 as compared to 3167.69 roller in Q 216.
BEAR15|/ 10 Q 316 is 2102.01 floor as compared to 2929.54 roller in Q 216.
BEAR16|Operating profit margin for the company in Q316 is 31.0% as compared to 38.4% in Q216.
BEAR17|A bit margin in Q316 is 26.57%, as compared to 35.51% in Q 216.
BEAR18|Company has 8518.4 dead.
NEUT19|It has interest liability of 443.4 companies in person to coverage ration is 23.08.
NEUT20|Finally, here is a summary of few positives and negatives based on these analysis points we have calculated the rating for Sun Pharmaceuticals Industries Limited.
NEUT21|Here is rating on a scale of 10 for Sun Pharmaceuticals Industries Limited.
BULL22|"Thanks for watching this video."""
