NEUT0|"""I'm Christy Duffy."
BULL1|Firstmark Trend News Coca Cola Enterprises traded in a range yesterday that span from a low of $27.15 to a high of $28.02.
BULL2|Yesterday, the shares gained almost 3%, taking the trading range above the three day high of $27.50 on volume of 7.5 million shares.
BEAR3|Shares of Coca Cola Enterprises are currently trading above their 50 day moving average of.
BEAR4|$27.45 and above their 200 day moving average of $22.15, look for these moving averages to provide support for a short term pullback in the shares.
BULL5|Smart trend is bullish on shares of Coca Cola Enterprises and our subscribers were alerted to buy on February 25th, 2010 when the stock was at a price of $25.45 per share.
BULL6|Stock has since risen almost nine and a half percent since that alert was issued.
BEAR7|SmarTrend has the shares in an uptrend and expects the share price to pull back.
BULL8|Toward the $27.50 support level.
BULL9|Afterwards, we expect it to move upward with its peers in the SmarTrend beverages soft drinks industry.
NEUT10|I'm Christy Duffy for smartphone news.
NEUT11|"For more on how you can become a subscriber of SmarTrend alerts, visit our website tradethetrend.com."""
