NEUT0|"""BNGO stock analysis and predictions, January 27th."
NEUT1|In today's BN Geo.
NEUT2|Stock analysis and predictions, BNGO stock forecast all right.
NEUT3|Let's get started going from strength to strength.
BEAR4|Bionano Genomics, NASDAQ, be NGO has surged by 28.73% on Monday, closing at $12.58 while shares are off the Fresh 52 week highs of $13.65 and may continue correcting on Tuesday.
BULL5|The surge is an incredible feat for the firm.
NEUT6|San Diego based bio.
BEAR7|Wanna hit a 52 week low of $0.25 late last year making it sleep even more impressive.
BULL8|The genetics company impressed the medical community and investors with its recent breakthroughs including mapping genes related to the autism spectrum, cancer and even COVID-19.
BULL9|Its work allows for better care and may also translate into higher sales down the road.
BULL10|Investors were impressed enough to provide the company with $230 million in its underwritten offering of common stock.
NEUT11|The financial exercise includes options to buy more stocks at a discounted price.
BULL12|The prospects of offering new stock had already weighed on BNG earlier in the year and closing the round was shrugged off on Monday, raising money became easier when professional investors also gave Bionano Genomics and backing Jason McCarthy, an analyst with Maxim bumped up his price forecast from $2.00 to $14.00.
NEUT13|At the current closing price, there is still room for the company to run.
BEAR14|McCarthy was impressed by the firm's next generation Cyto Genomics Symposium, an event where it showcased its sapphire optical genome mapping ogm capabilities be NGO stock price, NASDAQ, be NGO has already dropped from the highs and may continue lower.
BEAR15|However, such a correction makes sense after the meteoric rise to the downside, the levels to watch around $12.00 level and then Monday's low of $10.45 looking up Mondays close at $12.58 is followed by $13.00 and then by 30.
BULL16|$10.65 the 52 week High Mccarthys price forecast of $14.00 is next in line.
NEUT17|That's what's been happening this week in the world of BN Geo.
NEUT18|Stock analysis and predictions.
NEUT19|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to all investments right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of BN Geo.
NEUT20|Stock analysis and predictions.
NEUT21|If you enjoyed this edition of the NGO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL22|We'd really appreciate it.
NEUT23|Are you still watching and want more?
NEUT24|"Check out last week's BN Geo stock analysis and predictions by checking out our BN Geo stock analysis playlist."""
