BULL0|"""Hey son, investors and welcome back to another video."
NEUT1|So today we're going to talk about Ticker TLRYS&C this pot stock man absolutely crazy.
NEUT2|Yesterday we talked about it and you can see how literally it was at its all time high astman like for awhile now yes and see before man this thing was absolutely crazy or monster two years ago it just dropped and then we finally saw it just all time, highest last last night.
NEUT3|So yes and see man crazy crazy moves.
NEUT4|I want to come support size, they just continue to go up so we have a couple of news guys so well before I continue.
NEUT5|Yes yes enjoy short video straight to the point like this, drop a like subscribe turn on those post certification.
NEUT6|So yes do not miss out on these hot stocks man and on top of that guys don't forget to claim your free stocks here on Weibo.
NEUT7|They're still giving you 4 free salsa.
NEUT8|Have to do is sign up.
NEUT9|Make sure you're counting gets approved.
NEUT10|You get 2 free songs that positive 100 yet another two free suckers for free stocks.
NEUT11|Link down below, use my link and I'm going to be giving away $50 to a random person in.
NEUT12|See this is literally a $51.00 free stocks that I got $129 off that I got an I really get good stocks right here so I just want to get back to a random person look thirty 3030 thirty $30 stocks.
BEAR13|Another $30 stock so once again link will be down below sign up and yeah.
NEUT14|So what is going on with this stock right now?
BULL15|Yes and see today we are seeing we are seeing a short squeeze.
NEUT16|You know, going back up now.
NEUT17|One thing is need to understand this stock was just going up.
BEAR18|It just wasn't stopping right.
BEAR19|And then from going all the way to as high as $6364 yes and see huge crash man literally dropping 50% man dropping down to $30 man and now you have to see that is slowly going back up man.
BEAR20|So one reason why it did drop like that is mostly because people did.
NEUT21|Sell manuals can see you know people were selling at it's all time highest and then it just dropped or nothing else need to understand right now when it comes to these Canadian stocks, you know with the cannabis weed stocks man they are just going up like crazy.
NEUT22|You guys go look at other stocks like this.
NEUT23|You go look at sundial growers.
NEUT24|If you guys want to check out that video is also down.
NEUT25|You guys can check it out here on my channel but all these talks were just going up so fast.
NEUT26|You know, eventually whatever goes up has to come down, and that's exactly what happened, man.
BEAR27|But this one I had got hit pretty hard.
NEUT28|Let me know down in the comments section below via saying it's still a buy, especially around the job.
NEUT29|Literally like 50%, but I hope you guys enjoy.
NEUT30|"If you do give it a big thumbs up and I will see you guys on my next video."""
