NEUT0|"""What's up guys?"
NEUT1|Welcome back to trade time.
NEUT2|In this video, we're going to be talking about SPY, exactly what it is and how you can trade it before we get into it.
NEUT3|Though I do need to disclose that I'm not a financial advisor.
NEUT4|This is not financial advice.
NEUT5|Every word or statement that you hear in this video is purely my opinion.
NEUT6|All videos on the channel are for entertainment purposes only and any information that is shared on any of my videos may be inaccurate.
NEUT7|Ticker symbol SPY tracks the S&P 500 and it's basically a lower cost ETF that you can put your money into it to get the returns of the S&P 500.
BULL8|History has shown us that it is done very good.
NEUT9|Recently up 93% in the past five years and trades just like the S&P 500 day today and you can buy this just like any other stock on your brokerage firm.
BULL10|Thanks for watching.
NEUT11|"Make sure to like and subscribe and comment down below what stocks you're watching this week."""
