NEUT0|"""So, ladies and gentlemen, welcome to Verna in this video."
BULL1|I'm going to share the complete technical himself phenom pit stock and it will help in position running as well as those who are investing in this stock.
NEUT2|You must watch this video to know what's happening in the stock and what is the future value.
NEUT3|If you want to learn something, what this entire video here I'm using daily time frame to explain this.
NEUT4|Talk to you and I'm taking the help of support and resistance lines.
NEUT5|So.
NEUT6|First of all, I'm going to draw.
NEUT7|One trend and also here.
NEUT8|So that it will be understandable.
NEUT9|See here after making a low near the level.
BEAR10|25.73 In the month of March the stock went on a continuous uptrend.
NEUT11|What is the contents obtained?
NEUT12|I'm going to mark the uptrend channel here, so this is the optimum channel the stock is holding the support so and which is the residence level.
NEUT13|So this is the uptrend resistance channel.
NEUT14|The stock is heading.
NEUT15|From past several months so.
BULL16|See here the stock at U.S. Open near 23 levels, after that it once again he got a trendline support, or 31 again trendline support.
BEAR17|39 Again training support 50 and it has faced the several drain line.
NEUT18|Register is 42 and then 53 and then level.
BEAR19|60 and finally, this trend and resistance of 74.15 got broken on September.
NEUT20|I'm sorry it is number 24th, so after the other no stop.
NEUT21|You're staring at the level 79.60 and it has a very good support near the level 76.
BULL22|So if this level surface holds then we can expect the stock to once again reach the high level of 84.70 in the coming days.
NEUT23|Once 84.70 is broken on our daily time frame, we can expect the stock to reach the next important levels that is level.
NEUT24|91 then 104.
BULL25|After that we can expect the stock to reach this level that is 130 level in the coming months.
NEUT26|So these are all the bully set up.
NEUT27|The armor plate stock and what happens if the.
NEUT28|Resistance level 84.65 does not break and if the support level of 76.27 breaks then it will be arguing the backing.
BEAR29|This Ranger is stand and support on trendline resistance zone, so if it breaks this level 74.11 we can expect the stock to retrace back down 6465 levels in in the Bay Area.
NEUT30|Set up the stock.
NEUT31|So if you want any stock to analyze technical expert in the comment section, I'm going to make a video not one.
NEUT32|And if you feel this.
NEUT33|And this is what like this video.
NEUT34|Share this video with your friends and subscribe to my channel.
BULL35|"Thank you so much for listening."""
