NEUT0|"""How's it going?"
NEUT1|Everybody?
NEUT2|The size of TV.
NEUT3|He ran back for another video and today I'm talking about Doge coin.
NEUT4|Doge coin is not a scam.
NEUT5|I don't know why there's a bunch of articles saying that it is a scam, because obviously it's not.
NEUT6|It's just another cryptocurrency.
NEUT7|I guess people are saying it's a scam because they're losing out on a bunch of money, possibly, but it's basically doge.
NEUT8|Coin is like any other cryptocurrency or any other stock.
NEUT9|You put money into it.
NEUT10|Hopefully it goes up and less if you're shorter than you hope it goes down.
BULL11|For most people, we hope it goes up.
NEUT12|So then you can make our return on it.
BEAR13|Clean this kind of fluctuate ING and it's lost some money from like if people put it in at like 8 cents, it's about 6-6 cents right now and there are people that are calling it a scam, so I don't know why.
NEUT14|I don't know why these people are thinking.
NEUT15|Doge Coin is a scam, it's just another cryptocurrency that you invest in kind of like Bitcoin.
NEUT16|If that was the case, bitcoins a scam and it's not.
NEUT17|So don't know why these articles are coming up with this.
NEUT18|I saw an article and I'll have all the articles are like a few articles that are saying this in the description.
NEUT19|If you guys want to take him out but I saw it.
NEUT20|Article that said, I think it had like the title doge coin or like Ilamas Doge coin scam.
NEUT21|Costed a guy like $500,000 or something like that.
BEAR22|That's obviously their fault.
NEUT23|They should have invested in Doge coin.
NEUT24|You're responsible for your own money.
NEUT25|You shouldn't follow.
NEUT26|Follow people on YouTube.
NEUT27|You should ask like a train financial advisor, somebody who has like a degree or something like that.
NEUT28|In this type of stuff to help you out and see if you actually should or not.
NEUT29|The fact that people are saying that it's a scam whenever it's their money, they're investing their own money like as if they were investing inside a stock market or just other cryptocurrencies in general.
NEUT30|Absolutely don't know why.
NEUT31|Hopefully this doesn't get spread around that Doge coin is a scam.
NEUT32|Just gives Doge coin a bad name, gives all cryptocurrencies a bad name, so these people will get it situated and then they'll see, Oh well, that was pretty dumb.
NEUT33|The colonist scam like.
NEUT34|It's not a scam at all, so go ahead and invest in the Doge coin if you really, really want to.
NEUT35|I'm just holding it because it's kind of it.
NEUT36|Reminds me of Bitcoin.
NEUT37|Bitcoin started out as this very small thing and then it got bigger over like 10 years Ann.
NEUT38|Well now we can see where it is.
NEUT39|Almost $60,000 of Bitcoin.
NEUT40|I think it actually passed it this past week, which is crazy crazy.
NEUT41|That cryptocurrency past $60,000 just again doge coin is not a scam, it's just like any other cryptocurrency or any other.
NEUT42|Or anything else that you invest in your hoping to make a little bit of money out of it and you have to expect to lose the amount of money that you put in.
BEAR43|So if you put in $60.00, expect to lose it.
BULL44|But if you do gain it then great.
NEUT45|Have low expectations for the stock market I guess, except for some stocks I guess you can have high expectations for those, but people see this and they're like oh man, nodes coin.
NEUT46|Is it a scam?
NEUT47|No, it's not.
NEUT48|It's not a scam.
NEUT49|Don't get confused on what's this game and what is an.
NEUT50|Don't let these articles shine, change your mind anyway.
NEUT51|That's going to be it.
NEUT52|Thank you guys so much watching if you didn't join, remember to hit that like button down below.
NEUT53|Subscribe if you're new here.
NEUT54|We're almost at 5000.
BEAR55|Subscribers were at 4900 right now, which is absolutely insane.
BULL56|Can't thank you guys enough for all of the support.
BEAR57|It's been absolutely crazy this past like month and a half ish month and a week.
NEUT58|An yeah, it's absolutely crazy.
NEUT59|I can't thank you guys enough and I'll see you in next video.
NEUT60|Also subscribe if you want to see more Doge Coin news, there's probably something I should say as well.
NEUT61|Anyway, that's going to be it.
NEUT62|They get so much watching I'll see in the next one.
NEUT63|Have a good day.
NEUT64|"Bye bye."""
