BULL0|"""Prediction verified again."
NEUT1|Hello everyone, I'm Robbie I'm gonna tell you today's stock market and I'll tell you as I already told you that gold will sell and a exact happen.
NEUT2|So let's see today's level.
BEAR3|That 1677 is low aware as high as 1686 and silver low is 23.76 an highs 24.15 as I already told last day, predicted that gold will hit 1675 and it is in selling trend.
NEUT4|So it happened and you can see that a gold Hitler last night 1676 level, whereas I'm seeing there 1654 would be the next support level in goal and in which it will definitely hit today today or this week.
NEUT5|And if it resists then we will see mid rivers diverted seventeen 06, Seventeen 06 is a major important level for the first resistance level as we consider it so let's start talking about Silver as you know that commodities sell.
BEAR6|Together or by together so Silver also sell and dropped his 23.84 which I already told the level yesterday.
BEAR7|You can see on my yesterday's video that I predicted that it will resist in 24.35 and it can down till 23.84 which it happened.
BEAR8|So you can see that the silver also drop and we will see more selling in Silver Ware's talking about Australian dollar.
BEAR9|Australian turn is buying but because of the market effects as.
NEUT10|I am Australian.
BEAR11|Dollar also sells Desiro Point 7595 which I already told that it will sell and today we will sit upside till 0.7666 level which is the first resistance level in Australian dollar.
NEUT12|If it resistan go more upside than we will test, is he till zero point 7698?
NEUT13|The 77 zero point 7 seven is very much important resistance in Australian dollar.
BEAR14|So communities sell and Australian dollar is going upside.
NEUT15|But to sell together with the community because of the Corona effect.
NEUT16|"So please like and subscribe my YouTube channel and also click Bell icon for the further daily basis trend level to get to know daily trend."""
