NEUT0|"""Yeah."
NEUT1|Yeah.
BULL2|Yeah, yeah.
BULL3|Hercules you're OK, Meg.
NEUT4|Boy, I didn't look so fun.
NEUT5|No not with the heartless involved.
NEUT6|Yeah.
BULL7|Yeah, yeah.
NEUT8|Ear nose.
BULL9|Yeah, yeah.
NEUT10|Yeah.
NEUT11|Yeah.
NEUT12|Serious.
NEUT13|Work.
NEUT14|Yeah.
NEUT15|Yeah.
NEUT16|Ear nose.
NEUT17|Gorge by hoping Gordian Surance.
NEUT18|If there's anybody else stuck out here, we better find him fast.
NEUT19|Yes.
NEUT20|Yes.
NEUT21|Yeah.
NEUT22|Try.
NEUT23|"Sure."""
