BULL0|"""Hey everyone, and welcome back to another video."
NEUT1|So today we're going to talk about Zomedica ticker XE Om of very Hot Star guys that we really have to talk about crazy news and you guys haven't invested in this stock.
BULL2|Once again this is not financial advice but guys I bought a couple of shares and I'm very excited for this penny stock.
NEUT3|OK we gotta talk about both before I continue to say yes or short video straight to the point.
NEUT4|Drop a like subscribe and most importantly turn on those poles certifications so you guys do not miss out on these hot stocks now.
NEUT5|On top of that, on top of that guys, if yes or no hot stocks here on Robin Hood sometimes you get restricted so you're not going to be able to buy some shares, so I encourage you this man opening the account with Weibo you get really cool free stocks.
NEUT6|I gotta Facebook stalked or $64.
NEUT7|All you have to do is use my link down below.
NEUT8|Sign up deposit or $100 and you get 4 free stocks and I'm going to be giving away $50 tool random person.
NEUT9|Just relax.
NEUT10|You're very quickly look I got a $29.00 free stock right now.
NEUT11|$9 one.
NEUT12|What is it like?
NEUT13|30 like $40 right now 50.
NEUT14|I ground sixtyish.
NEUT15|70 alright, we made around $80.00 right now for opening free stocks guys, so that's it.
NEUT16|Look, I want to give away $50 once again use the link down below & up.
NEUT17|So what is going on with no medical?
NEUT18|There's a couple of things we need to understand.
BULL19|OK, first of all, if we look at this, if we look at the chart and see that it's been doing absolutely amazing when it comes to this year, it's almost up a little bit almost background.
NEUT20|I would say it was like 1000% which is absolutely crazy essence.
NEUT21|Yeah, this was literally like around $0.17 and all of a sudden so many could just started to go up very quickly.
NEUT22|But one thing's need to understand.
NEUT23|About this is a couple of things.
BULL24|OK, so Zomedica wanting yes need to really be excited about this stock is it's a win win OK because for looks as America is a winner with its pets lab production and cash balance.
BULL25|OK so medical looks like it will be a winner once you know pretty much they start doing the lab testing product and it's going to launch on March 30.
NEUT26|If you guys don't know check out my videos.
NEUT27|I've been talking about this and I told you guys look if this is a success.
BEAR28|This stock is just going to blow up, and that's exactly what's going to happen.
BULL29|Obviously this year they are up almost 850% and the fact that this is going to really help them that much is really good news, so let me know what you guys think about this man.
BULL30|I'm really excited to see you know at the end of this month and we're going to see some huge increase.
BULL31|I'm really excited to see this.
NEUT32|My price prediction for this will probably be.
NEUT33|It'll probably hit 3/4 even $5 reason why is because a lot of people might even hype this up.
NEUT34|Hype it up yes no.
NEUT35|When it comes to meme songs, a lot of people hype things up and eventually it goes up.
NEUT36|So Zomedica, I'm really excited to see where it goes from.
NEUT37|Let me know down in the comments section below.
NEUT38|What are your opinions and predictions on this, but I hope you guys enjoy.
NEUT39|"If you do give it a big thumbs up and I will see you guys on my next video."""
