NEUT0|"""Tubers."
NEUT1|My name is Ravi Patel and I would like to welcome you to invest with Ravi Zero to Freedom Channel.
NEUT2|Now I'm just going to go out there and I want you to subscribe, but you're probably asking yourself why should I?
NEUT3|Great question, let me tell you because I'm going to help you become a little bit wealthier.
NEUT4|Your freedom is all about wealth and it's about helping you get yours through sound investing strategies taken from the likes of Warren Buffett, Benjamin Graham and others.
NEUT5|Each week I post new videos all focused on helping you build your own wealth and getting from zero to financial freedom.
NEUT6|Sort of freedom is the ultimate investing in.
NEUT7|Finance channel here we talk about personal finance investing in stocks, real estate, passive income, budgeting, and anything else I feel is going to maximize your income potential on this channel.
NEUT8|We're going to keep it super positive we have no time for negative energy or nonsense or anyone that's going to say it.
BULL9|We can't, or it's too difficult because together we have amazing things to accomplish and make our community richer and smarter.
NEUT10|At this point I'm going to shut up and hopefully you're going to hit that subscribe button right down there and pound that notification bill.
NEUT11|I promise you won't regret it.
NEUT12|Once again, my name is Robbie Patel.
BULL13|"Welcome to invest with Ravi and you all are amazing."""
