NEUT0|"""Neo stock analysis and predictions, December 21st."
BEAR1|In today's NEO stock analysis and predictions, large hedge fund loads up on NIO stock.
NEUT2|Alright, let's get started.
NEUT3|Large investment management company Van Eck Associates recently bought more NIO stock in this last quarter, the institution bought 8.56 million in NEO stock.
NEUT4|Now Vanek owns 28 million 500 and 85,399 shares of the company's stock worth 220 million $680,000.
NEUT5|Today Vanek bought an additional 1,000,000 ninety 3756 shares during today's rally.
NEUT6|Vanek is not alone in knowing large shares of NIO stock.
BULL7|A large amount of corporate investors like Valley Gifford have recently added onto their NIO shares, nearly doubling the amount they have had in the last six months.
BULL8|In fact, Ballie Gifford lifted their investments in NIO 4.0% this quarter and other large hedge fund electron Capital Partners LLC.
NEUT9|Also bought 69 million, 800 and $8000 shares of NIO stock this quarter.
NEUT10|NIO stock opened at $45.63 on Monday an IO had a 50 day hi share moving average of about 200,000,000 shares.
BULL11|Analysts anticipate that the stock will move up 4 to 5% now that NIO Day is closely approaching to a price target of 65 to $70.00.
NEUT12|That's what's been happening this week in the world of Neo.
NEUT13|Stock analysis and predictions.
NEUT14|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT15|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL16|We'd really appreciate it.
NEUT17|Are you still watching and want more?
NEUT18|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
