NEUT0|"""Neo stock analysis and predictions."
NEUT1|January 1st.
BEAR2|In today's NEO stock analysis and predictions sell off after NIO Day.
BULL3|Alright, let's get started with NIO rallying up 0.74% coming into Nio Day, an expected to go higher.
NEUT4|Many investors are wondering if there will be a sell off of some sorts afterwards.
NEUT5|Here are what analysts predict.
BULL6|Sun Crest Bank analyst Susan she states looking back at previous Anio Days, NIO rallied 4 to 6% afterwards with the revealing of it's their new E, C6 and ES-8 models.
BEAR7|There was no significant lowering of its price stock, though short as we're looking to cash in on quick profits, PNB Bank analyst Anthony Sinclair states after NIO Day 2019.
BULL8|NIO stock price jumped from $12.30 up to $18.25, leaving analysts from major banks upping their price targets and seeing the potential in NIO as a brand and company.
BEAR9|Short sellers Onahole did not do much to NIO stock prices.
BEAR10|They did drop to $18.00 in early market trading, but then rallied back up to $18.26 when the market closed.
BULL11|We do not expect much of or if any sell off this year's nio's potential for the future is looking stronger than ever.
BEAR12|RBC Bank analyst Jeffrey Chen states the difference between this year and last year's NIO Day is an iOS fundamentals.
BULL13|Anio is expanding to European territories, making record deliveries, revealing a new sedan and will take over.
NEUT14|30% of China's EV market we do not predict a sell off at all.
BULL15|In fact, we expect investors to hold for the long term as an IO will blossom due to the EV boom next year.
NEUT16|That's what's been happening this week in the world of Neo.
NEUT17|Stock analysis and predictions.
NEUT18|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT19|If you enjoyed this edition of NEO stock analysis and predictions.
NEUT20|Leave a comment and please hit the like or share button.
BULL21|We'd really appreciate it.
NEUT22|Are you still watching and want more?
NEUT23|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
