NEUT0|"""Hello and welcome to this ticket again and all his video here."
NEUT1|It's become a million deltas investment analyst.
NEUT2|After going to look at dollar card and then delete time frame zooming into the charnel.
BEAR3|The price takes a negative path after they pull back on, the more than four year peak of one point 4668 registered on March 19 rate testing the one point 3930 support we needed today as in May.
BEAR4|Veggie McQueen, Decatur, suggesting a neutral to bearish movement as the cloud remains near the current market price but it fell BNE there written concern there.
NEUT5|Blue kitchen lines.
BEAR6|Also there's testicles illiterates flirted with the virtual zone and there is I indicators flattening below the 50 level.
NEUT7|In case of steeper losses their price may posses dive to the 4th day is may currently at one point 3853 before it testing the 50% people, not retracement level of the upward move from one point.
BEAR8|2951 Point, 4668 out on point 3808.
BEAR9|A town shed rally could present censoring high from December of 2018 are done per 3565 and at the 61.8% of people of one point 3610.
NEUT10|All the flip side, now a successful attempt up up.
NEUT11|They meet the immediate resistance of one Point, 4510, which is a theory 8.2% people could send the market or the 20 days in May.
NEUT12|At one point, 4190 before with testing the other 23.6% people of one point 4260.
NEUT13|Above this level the one point 4350 is coming next and then the one point 40 and then beyond for 4668.
BULL14|Which is then more than 40 year high.
NEUT15|Summarizing dark at hospital and barrier treatment over the last three weeks, but in the longer term window there market is an issue of positive tone, so that's all for me.
BULL16|"Thank you for watching and have a great day."""
