BULL0|"""Hey everyone, and welcome back to another video."
NEUT1|So if you're new here, I post every single day about the best hot penny stocks out there.
NEUT2|Stocks in general.
NEUT3|You know they're going up.
NEUT4|Keep you guys updated here with the markets of yes, enjoy short videos like this straight to the point.
NEUT5|Drop a like subscribe and turn those pull certifications on top of that guys.
NEUT6|Don't forget to claim your free stocks here on Weible.
BULL7|We will give you really good free stocks.
NEUT8|Look I gotta Facebook song $264 use my link down below.
NEUT9|Sign up deposit or $100 and I'm going to be giving away $50 too.
NEUT10|Or random person that is right guys like these are all the free songs that I received and I'm going to be giving away $50 to a random person guys.
NEUT11|So go sign up.
NEUT12|Now let's talk about ticker LK C. OK, this is a very hot penny stock right now.
NEUT13|Man guys you need to understand this.
NEUT14|This is penny soccer.
NEUT15|Here man yes to see that it was just drawing.
BEAR16|Literally look at this February 8 to you know to the 16 and eight days little look how much it went up 355% OK. And then from that day it just started dropping into continues to drop.
NEUT17|Yes I see that a drop dirty.
NEUT18|Like around 50% in one week.
BEAR19|OK so keep that in mind and right now yes to see that it continued to drop.
BEAR20|It dropped to 74 cents and then right now bouncing back up to $0.79 after hours.
NEUT21|Then one thing is need to understand is that this is a stock that a lot of people are very interested in.
NEUT22|A lot of people are hyping up this stock and just showing us here by just analyzing the chart itself.
BEAR23|It's been dropping into continues to drop.
BEAR24|Now if you guys don't know the market right now is dropping us to see huge companies that you know the market is just dropping so much.
BEAR25|But one thing's need to understand why it's dropping is because of inflation.
NEUT26|You know, right now last year you know we we pronounce so much money.
NEUT27|Obviously inflation is going to have a big role in this, so I want to know down in the comments section below, if you think this is a penny stock that you should definitely buy.
NEUT28|Or do you think it's up inside?
BEAR29|You have to wait and see because it continues to drop.
NEUT30|My prediction is that I think that it already dropped enough and it's probably going to bounce back up because a lot of people are going to be interested in, you know when it comes into like meme stocks, people just look at a stock.
NEUT31|And then other people just hop into it, and if this stock is hyped up, I'm pretty sure this is a stock that a lot of people will buy.
NEUT32|So let me know down in the comments section below, but I hope you guys enjoy.
NEUT33|"If you do give it a big thumbs up and I will see you guys on my next video."""
