BULL0|"""Hi everyone, welcome to Ford Slash."
NEUT1|We often talk about billionaires here at Forbes, and this week is no exception.
NEUT2|From Trump's purported wealth to a fortune made via the trendy beverage kombucha, here, the stories you don't want to miss.
BULL3|Donald Trump's finances were back in the news this week, thanks to a blockbuster report by the New York Times that revealed that Trump listed $1.2 billion of losses on his tax filings from 1985 to 1994 at the time.
NEUT4|The young businessman appeared by himself on the Forbes 400 list of richest people for the first time after inventing a fake persona to lie about a transfer of wealth from his father.
NEUT5|Five years after Forbes fell for that ruse, we published a story uncovering the trouble brewing inside Trump's Empire.
BEAR6|The profitability problems exposed by writers back in 1990 are still making headlines.
NEUT7|Almost 30 years later, we published that cover story on line for the first time ever this week, and I think it's worth sharing the closing sentence of the story quote when Donald Trump looks back someday.
NEUT8|This artist of the deal may well remember 1990 is the toughest year of his life.
NEUT9|The printers at the time could have had no idea that their story would re emerge in the way it has with Trump as president in the United States.
NEUT10|The public calling for him to release his tax returns publicly.
NEUT11|You can read the whole story on forbes.com.
BEAR12|Do you keep up with the world of crypto you may have heard the news of a hack that was reported this week by crypto currency exchange finance and what appears to be its largest hack to date, 7000 Bitcoin were lost, which translates to around $40 million by ***** CEO Changpeng Zou says a single account was affected and no users will be affected.
NEUT13|Lost funds will be covered by something called the Secure Asset Fund for users according to ZZ, the hackers use several techniques over long period of time, including phishing and viruses.
NEUT14|Further reviews to come quote, we must conduct a thorough security review.
NEUT15|The security review will include all parts of our systems and data which is large.
NEUT16|You might know that Ashton Kutcher was one of the earlier investors in Uber, thanks to a 2016 Forbes cover story that called him a startup star.
NEUT17|But he's not the only celeb to get on the ride.
NEUT18|Sharing startup, Gwyneth Paltrow, Jay-Z, Olivia Munn have all confirmed that their Uber investors.
NEUT19|These a listers join other big names like Leonardo DiCaprio and Beyoncé were rumoured but unconfirmed to have invested the bets they made years ago will likely pay off when Uber starts trading as a filming it scheduled to IPO today.
NEUT20|And as of May 9th, the company said it was targeting.
BULL21|And approximately $90 billion valuation makes sense that a listers could spot the appeal for a black car service on demand earlier than most others.
NEUT22|The idea of it being a limousine at the push of a button did 'cause some early onlookers to pass on the deal.
NEUT23|Now we know that their instinct turned into powerful investments.
NEUT24|Now, on to someone who's already made a billion dollar fortune, but without the celeb status.
NEUT25|Meet George Thomas.
NEUT26|Dave, otherwise known as GT.
NEUT27|He was the first to put kombucha on the store shelves in late 1990s.
NEUT28|First, if you're not familiar with Kombucha, it's a tangy, tart fermented beverage with humble origins.
BULL29|In the Far East, Kombucha has undergone a rise in popularity in recent years.
NEUT30|There are now more than 350 kombucha makers in the world.
NEUT31|So how does GT stay ahead of the curve?
NEUT32|He refuses to pasteurise the beverages, though it would make it easier to ship.
NEUT33|He scaled the company while staying true to himself in the company's origin story, something that's helped him define their next moves too.
NEUT34|And even though companies have come calling with acquisition offers, GT isn't interested along with fighting off competitors and finding the next big thing he speaks with the calm of a seasoned entrepreneur.
NEUT35|I'm not in a rush, he says I don't have to answer to anybody.
NEUT36|Thanks for watching find these stories and many more on forbes.com, and be sure you're following us to get updates all day long.
NEUT37|"See you next week."""
