NEUT0|"""Alright, what is up around today?"
NEUT1|Will look at my Neo stock prediction for the next couple of years so now I highly recommend Neil to everyone that hasn't bought it yet.
NEUT2|I think this is the next test like guaranteed to smash a like and subscribe, but now yeah, I think that this stock will be the next Tesla.
NEUT3|As you can see over the next over the last six months it is doing the same as Tesla was doing a couple years ago and it is in the China market without any real competitors.
NEUT4|So I highly suggest buying this because my prediction is that next year this could be worth literally next year.
NEUT5|I'm not joking, it could be worth 5 to 10 times more, but in five years I am sure it will be worth at least 10 times more than it is now.
NEUT6|This is insane, so I highly suggest jumping into NEO stock today.
NEUT7|I just bought more shares one week ago and I actually bought it at 21 U.S. dollars, but then a couple days later it just jumped to 28.
NEUT8|So highly, I highly suggest you buy it now.
NEUT9|I'm not a financial advisor so anything I say take it with a grain of salt, but me personally I would suggest investing a lot in this company as you can see it was a $6.
BULL10|It did the same growth as it is doing now so I think this will continue and it will five times again next year.
BULL11|I'm sure it to fire increase the price by about five times and this is the next Tesla guaranteed.
NEUT12|Pause the news about it or just positive.
NEUT13|I highly suggest buying it, but this is not investment advice.
NEUT14|This is my personal opinion, so smash like subscribe.
NEUT15|"Stay connected for more videos and I'll see you in the next one."""
