BULL0|"""Hello everybody, welcome back to case studies with engineering robot."
NEUT1|Today we're gonna be talking about Facebook and we're going to be starting from May 2018, two December 2018.
NEUT2|So let's go and see what happened in this market during that time over here as you guys can see on May 2018, there's a by two and super buy signals at the same time and on the same month.
NEUT3|But couple days later, there's a moon signal, which is a buy signal.
NEUT4|After that, the market goes up just a little bit until July 2000.
NEUT5|18 So in this two months, if you decided to listen engineering robots by signal and you wanted to buy from here two months later when you come back on July 2018 and you sell it, you are going to have 25% profit.
NEUT6|But as you guys can see over here on July 2018, there's a hell and sell 2 signals at the same time.
NEUT7|So that means if you come over here on July 2018 and you see that cell signal and you didn't.
NEUT8|Wanna sell it?
BEAR9|Unfortunately, you lost all of your money by the end of December 2018 because the market drops so much for 44%'s.
NEUT10|This is why it's so important to listen engineering robust cell signals to not lose your profit or your or your money.
BULL11|Thank you so much for watching.
NEUT12|Make sure you subscribe.
NEUT13|Make sure to follow us on Facebook and Instagram.
NEUT14|"See you."""
