NEUT0|"""Neo stock analysis and predictions, January 6th."
NEUT1|In today's NEO stock analysis and predictions why NIO stock drop so suddenly?
BEAR2|Alright, let's get started an IO stock as well as other stocks in the Dow Jones and NASDAQ Exchange have dropped significantly due to the unrest in the US is exchange of power from Trump to Biden.
BEAR3|Anios talk was on a 4.5% rally when supporters of President Trump reached Capitol as lawmakers have just verified Biden's winning the Electoral College shortly after 1:00 PM, hundreds of pro Trump protesters push through barriers and broke into the Capitol building leading senators another.
NEUT4|Elected official to bunker down in rooms or hiding under chairs.
BEAR5|It has been reported that protesters have tussle with officers in riot gear.
NEUT6|About 90 minutes later, the House and Senate were being locked down with the National Guard on standby.
BEAR7|Vice President Mike Pence was also evacuated from the capital, as more police officers are dispatched to calm down this tense situation.
NEUT8|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT9|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now.
NEUT10|So that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT11|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL12|We'd really appreciate it.
NEUT13|Are you still watching and want more?
NEUT14|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
